DEPTH d	VALUE d	COUNT d
1374.16000000	8.73165682	0.00000000
1374.61500000	9.77368754	0.00000000
1374.67000000	12.22886526	1.00000000
1375.10500000	12.02606640	0.00000000
1375.54000000	10.57017588	1.00000000
1376.56000000	12.40226015	1.00000000
1383.28000000	10.49566135	0.00000000
1386.75500000	9.05111541	0.00000000
1386.75500000	9.05111541	0.90000000
1388.72000000	14.11309757	0.00000000
1391.85500000	19.79606551	0.00000000
1392.46000000	23.33856496	0.00000000
1392.62000000	23.83432778	0.90000000
1392.62000000	23.83432778	0.00000000
1392.62000000	23.83432778	0.00000000
1392.78000000	21.88440274	0.00000000
1392.78000000	21.88440274	0.90000000
1394.21500000	22.35767968	1.00000000
1395.93000000	21.95025208	0.00000000
1396.08500000	21.37646629	0.00000000
1396.37000000	19.69053218	1.00000000
1396.70000000	22.32580564	0.00000000
1396.90000000	23.09780303	1.00000000
1400.35000000	21.36177187	0.00000000
1401.29000000	19.79430688	0.00000000
1401.29000000	19.79430688	0.90000000
1402.70000000	20.34611166	0.00000000
1403.98000000	20.38134097	1.00000000
1405.22500000	16.95175489	1.00000000
1406.08000000	17.72635470	1.00000000
1408.98500000	17.05094301	0.00000000
1412.00000000	14.18559590	0.00000000
1412.00000000	14.18559590	0.00000000
1412.37500000	13.37346468	0.00000000
1412.37500000	13.37346468	0.90000000
1412.75000000	14.55103947	0.90000000
1412.75000000	14.55103947	0.00000000
1413.06500000	14.14991476	1.00000000
1413.48500000	15.91421304	1.00000000
1413.68000000	11.81734316	1.00000000
1414.00000000	13.22706395	1.00000000
1414.13500000	12.22411369	0.00000000
1414.13500000	12.22411369	0.00000000
1414.34500000	10.16898390	1.00000000
1414.42000000	11.47522638	0.00000000
1414.69000000	13.29078193	1.00000000
1424.97000000	10.11405257	0.00000000
1428.63000000	9.74352450	1.00000000
1430.83000000	10.71488615	1.00000000
1431.25500000	9.01640191	0.00000000
1431.46000000	8.03393215	0.00000000
1431.46000000	8.03393215	0.00000000
1431.46000000	8.03393215	0.00000000
1431.48000000	7.11448505	0.00000000
1431.48000000	7.11448505	0.00000000
1431.48000000	7.11448505	0.00000000
1431.48500000	5.80192010	0.00000000
1431.48500000	5.80192010	0.00000000
1431.48500000	5.80192010	0.90000000
1432.00000000	10.36921449	0.00000000
1432.29000000	11.61147510	0.00000000
1432.64000000	13.43322098	0.00000000
1434.26000000	15.42928981	0.00000000
1438.20000000	15.87745064	0.00000000
1441.59000000	17.59039727	1.00000000
1445.66000000	16.30432694	0.00000000
1447.46000000	15.86260964	1.00000000
1447.58000000	17.76172827	0.00000000
1447.86000000	17.89267980	1.00000000
1448.14000000	17.09690754	0.00000000
1448.21500000	17.06924137	1.00000000
1448.29000000	17.31014711	1.00000000
1449.81000000	14.59818576	1.00000000
1449.86000000	15.87826618	0.90000000
1449.86000000	15.87826618	0.00000000
1449.86000000	15.87826618	0.90000000
1449.91000000	17.22973305	1.00000000
1450.72500000	16.32691250	0.00000000
1451.01000000	15.44392379	0.00000000
1451.20000000	14.01303764	1.00000000
1451.51500000	16.73341074	1.00000000
1451.72500000	14.15106927	0.00000000
1456.30500000	11.04177258	1.00000000
1457.32000000	11.81127361	1.00000000
1462.84000000	7.58404972	0.00000000
1462.96000000	7.39338545	0.00000000
1465.36000000	5.72700094	1.00000000
1465.64500000	6.43662855	0.90000000
1465.64500000	6.43662855	0.90000000
1465.93000000	6.69484536	0.00000000
1468.81500000	8.22249484	1.00000000
1469.02000000	7.73355682	1.00000000
1469.20000000	9.95157633	0.00000000
1469.40500000	9.98283687	0.90000000
1469.40500000	9.98283687	0.00000000
1469.40500000	9.98283687	0.00000000
1469.40500000	9.98283687	0.90000000
1470.43000000	10.09646020	0.00000000
1470.94000000	11.04656948	0.00000000
1471.12000000	12.87093095	1.00000000
1471.90500000	10.25008237	0.00000000
1471.90500000	10.25008237	0.00000000
1471.90500000	10.25008237	0.90000000
1472.51000000	10.35217676	0.00000000
1475.32000000	14.00291722	0.00000000
1475.48000000	16.28977308	0.00000000
1476.85500000	19.89686467	0.00000000
1478.23000000	20.36832672	1.00000000
1482.34000000	13.43927485	1.00000000
1491.12000000	16.81345338	1.00000000
1493.85000000	15.82912762	0.00000000
1493.85000000	15.82912762	0.00000000
1493.85000000	15.82912762	0.90000000
1493.96000000	17.90312077	0.90000000
1493.96000000	17.90312077	0.00000000
1493.96000000	17.90312077	0.00000000
1493.96000000	17.90312077	0.90000000
1494.38500000	17.98809125	0.90000000
1494.38500000	17.98809125	0.00000000
1494.70000000	13.23817519	0.00000000
1494.70000000	13.23817519	0.00000000
1494.70000000	13.23817519	0.90000000
1502.79000000	20.28034241	1.00000000
1503.40500000	18.03515371	0.00000000
1504.02000000	14.82061839	0.00000000
1504.02000000	14.82061839	0.00000000
1504.02000000	14.82061839	0.00000000
1504.02000000	14.82061839	0.90000000
1507.40000000	17.53470499	1.00000000
1507.44000000	15.82075171	0.00000000
1507.71500000	13.42939178	0.00000000
1507.99000000	11.77312438	1.00000000
1508.08000000	12.06701030	0.90000000
1508.08000000	12.06701030	0.00000000
1508.17000000	11.52980575	1.00000000
1513.84000000	12.38388590	1.00000000
1514.33500000	10.65272047	1.00000000
1514.83000000	11.30194084	0.90000000
1514.83000000	11.30194084	0.90000000
1517.28500000	11.53508895	0.90000000
1517.28500000	11.53508895	0.90000000
1517.74000000	11.91155357	1.00000000
1520.16000000	9.06278212	1.00000000
1520.58000000	11.33424840	1.00000000
1521.97000000	5.57137085	0.00000000
1521.97000000	5.57137085	0.00000000
1521.97000000	5.57137085	0.00000000
1521.97000000	5.57137085	0.90000000
1524.39000000	12.29984869	1.00000000
1525.31000000	11.85810662	0.00000000
1525.31000000	11.85810662	0.90000000
1526.23000000	12.62872884	1.00000000
1527.86500000	9.81592949	0.00000000
1527.86500000	9.81592949	0.90000000
1529.59000000	10.17775541	0.00000000
1533.85000000	10.56481507	0.00000000
1533.87000000	12.74629736	0.90000000
1533.87000000	12.74629736	0.90000000
1533.89000000	12.79502437	0.00000000
1533.99000000	17.40424826	0.90000000
1533.99000000	17.40424826	0.00000000
1536.57000000	17.02747223	1.00000000
1539.15000000	17.09605602	0.90000000
1539.15000000	17.09605602	0.90000000
1540.10000000	25.82197618	0.00000000
1540.38500000	27.58799593	0.90000000
1540.38500000	27.58799593	0.00000000
1540.38500000	27.58799593	0.00000000
1549.33000000	15.78713529	0.00000000
1549.33000000	15.78713529	0.00000000
1550.80000000	14.32933509	0.00000000
1553.37000000	10.67289777	0.00000000
1553.42500000	9.21915911	0.00000000
1553.42500000	9.21915911	0.00000000
1553.50500000	8.77509876	0.00000000
1553.80000000	7.48717228	0.00000000
1555.14000000	5.07459996	0.00000000
1555.14000000	5.07459996	0.90000000
1556.00500000	7.63271307	0.00000000
1556.68000000	9.60943230	0.00000000
1561.00000000	9.82835357	1.00000000
1561.34000000	8.99255332	0.00000000
1561.39000000	8.11215339	0.00000000
1562.22500000	7.27295047	0.00000000
1563.06000000	7.00196556	0.00000000
