ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0204	242.55613860	56.21832282	242.55613860	60.31669397	-0.49345582	-0.25626264	-0.83116233	-0.43947653	-0.22822999	-0.86877584	4.09837115	16.79664611
W_TST_0205	242.55613860	56.21832282	242.55613860	57.26956002	-0.49345582	-0.25626264	-0.83116233	-0.47983990	-0.24919159	-0.84122365	1.05123720	1.10509964
W_TST_0206	242.55613860	56.21832282	242.55613860	60.08930042	-0.49345582	-0.25626264	-0.83116233	-0.44253300	-0.22981728	-0.86680364	3.87097760	14.98446754
W_TST_0207	242.55613860	56.21832282	242.55613860	42.65829429	-0.49345582	-0.25626264	-0.83116233	-0.65264730	-0.33893434	-0.67762454	13.56002854	183.87437388
W_TST_0208	242.55613860	56.21832282	242.55613860	57.35812718	-0.49345582	-0.25626264	-0.83116233	-0.47868531	-0.24859199	-0.84205843	1.13980436	1.29915397
W_TST_0209	242.55613860	56.21832282	242.55613860	60.80947033	-0.49345582	-0.25626264	-0.83116233	-0.43282926	-0.22477792	-0.87300270	4.59114750	21.07863540
W_TST_0210	242.55613860	56.21832282	242.55613860	61.92890170	-0.49345582	-0.25626264	-0.83116233	-0.41761059	-0.21687452	-0.88236435	5.71057888	32.61071110
W_TST_0211	242.55613860	56.21832282	242.55613860	61.78092233	-0.49345582	-0.25626264	-0.83116233	-0.41963164	-0.21792409	-0.88114606	5.56259951	30.94251328
W_TST_0212	242.55613860	56.21832282	242.55613860	59.77139013	-0.49345582	-0.25626264	-0.83116233	-0.44679445	-0.23203035	-0.86402352	3.55306730	12.62428727
W_TST_0213	242.55613860	56.21832282	242.55613860	57.88464691	-0.49345582	-0.25626264	-0.83116233	-0.47179792	-0.24501521	-0.84697950	1.66632409	2.77663597
W_TST_0214	242.55613860	56.21832282	242.55613860	53.61420765	-0.49345582	-0.25626264	-0.83116233	-0.52646006	-0.27340248	-0.80504092	2.60411517	6.78141583
W_TST_0215	242.55613860	56.21832282	242.55613860	54.19991753	-0.49345582	-0.25626264	-0.83116233	-0.51912923	-0.26959542	-0.81106298	2.01840529	4.07395993
W_TST_0216	242.55613860	56.21832282	242.55613860	52.10646683	-0.49345582	-0.25626264	-0.83116233	-0.54507624	-0.28307028	-0.78915341	4.11185599	16.90735967
W_TST_0217	242.55613860	56.21832282	242.55613860	52.55273026	-0.49345582	-0.25626264	-0.83116233	-0.53960494	-0.28022892	-0.79391326	3.66559256	13.43656882
W_TST_0218	242.55613860	56.21832282	242.55613860	53.78843926	-0.49345582	-0.25626264	-0.83116233	-0.52428507	-0.27227296	-0.80684113	2.42988357	5.90433415
W_TST_0219	242.55613860	56.21832282	242.55613860	57.83576530	-0.49345582	-0.25626264	-0.83116233	-0.47243903	-0.24534815	-0.84652563	1.61744248	2.61612016
W_TST_0220	242.55613860	56.21832282	242.55613860	54.84700451	-0.49345582	-0.25626264	-0.83116233	-0.51096715	-0.26535667	-0.81761752	1.37131831	1.88051390
W_TST_0221	242.55613860	56.21832282	242.55613860	55.71003477	-0.49345582	-0.25626264	-0.83116233	-0.49998001	-0.25965080	-0.82619698	0.50828805	0.25835674
W_TST_0222	242.55613860	56.21832282	242.55613860	56.77902887	-0.49345582	-0.25626264	-0.83116233	-0.48621378	-0.25250169	-0.83656384	0.56070605	0.31439127
W_TST_0223	242.55613860	56.21832282	242.55613860	55.76158594	-0.49345582	-0.25626264	-0.83116233	-0.49932011	-0.25930810	-0.82670354	0.45673688	0.20860858
W_TST_0224	242.55613860	56.21832282	242.55613860	58.04574979	-0.49345582	-0.25626264	-0.83116233	-0.46968255	-0.24391665	-0.84847096	1.82742697	3.33948932
W_TST_0225	242.55613860	56.21832282	242.55613860	58.10728032	-0.49345582	-0.25626264	-0.83116233	-0.46887364	-0.24349657	-0.84903883	1.88895750	3.56816043
W_TST_0226	242.55613860	56.21832282	242.55613860	57.63422360	-0.49345582	-0.25626264	-0.83116233	-0.47507871	-0.24671900	-0.84464783	1.41590078	2.00477501
W_TST_0227	242.55613860	56.21832282	242.55613860	58.51179961	-0.49345582	-0.25626264	-0.83116233	-0.46354221	-0.24072784	-0.85274775	2.29347679	5.26003579
W_TST_0228	242.55613860	56.21832282	242.55613860	59.38369956	-0.49345582	-0.25626264	-0.83116233	-0.45197264	-0.23471950	-0.86059717	3.16537674	10.01960989
