EIGENVECTOR1.X d	EIGENVECTOR1.Y d	EIGENVECTOR1.Z d	EIGENVECTOR2.X d	EIGENVECTOR2.Y d	EIGENVECTOR2.Z d	EIGENVECTOR3.X d	EIGENVECTOR3.Y d	EIGENVECTOR3.Z d	EIGENVALUE.X d	EIGENVALUE.Y d	EIGENVALUE.Z d	S_1.DIPDIR d	S_1.DIP d	S_2.DIPDIR d	S_2.DIP d	S_3.DIPDIR d	S_3.DIP d	stressratio d	delvaux_str d	regime s	delvaux_rgm s	shmax d	shmin d
-0.05444558	-0.05388447	-0.99706175	0.69072801	0.71904846	-0.07657763	0.72106206	-0.69286780	-0.00192950	1.00840950	-0.42571940	-0.58269010	225.29676778	85.60672851	43.84916243	4.39187484	133.85765319	0.11055207	0.09865549	0.09865549	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.85765319
-0.05446766	-0.05386066	-0.99706184	0.69073638	0.71904062	-0.07657579	0.72105238	-0.69287778	-0.00196094	1.00840935	-0.42572522	-0.58268413	225.32104344	85.60678877	43.84982111	4.39176867	133.85845003	0.11235376	0.09864845	0.09864845	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.85845003
-0.05448574	-0.05384116	-0.99706190	0.69074323	0.71903420	-0.07657427	0.72104445	-0.69288596	-0.00198669	1.00840923	-0.42572999	-0.58267923	225.34092159	85.60683753	43.85036059	4.39168175	133.85910264	0.11382903	0.09864269	0.09864269	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.85910264
-0.05450054	-0.05382520	-0.99706195	0.69074884	0.71902894	-0.07657304	0.72103796	-0.69289266	-0.00200777	1.00840913	-0.42573390	-0.58267523	225.35719881	85.60687707	43.85080242	4.39161060	133.85963710	0.11503703	0.09863797	0.09863797	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.85963710
-0.05451266	-0.05381213	-0.99706200	0.69075343	0.71902463	-0.07657202	0.72103264	-0.69289814	-0.00202504	1.00840905	-0.42573709	-0.58267195	225.37052739	85.60690918	43.85116425	4.39155235	133.86007478	0.11602618	0.09863411	0.09863411	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86007478
-0.05452259	-0.05380142	-0.99706203	0.69075719	0.71902111	-0.07657119	0.72102828	-0.69290263	-0.00203917	1.00840898	-0.42573971	-0.58266927	225.38144146	85.60693530	43.85146057	4.39150466	133.86043320	0.11683613	0.09863095	0.09863095	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86043320
-0.05453072	-0.05379266	-0.99706206	0.69076028	0.71901822	-0.07657051	0.72102472	-0.69290631	-0.00205075	1.00840893	-0.42574186	-0.58266707	225.39037841	85.60695658	43.85170322	4.39146562	133.86072671	0.11749934	0.09862836	0.09862836	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86072671
-0.05453737	-0.05378548	-0.99706208	0.69076280	0.71901585	-0.07656996	0.72102180	-0.69290932	-0.00206023	1.00840889	-0.42574361	-0.58266527	225.39769641	85.60697392	43.85190193	4.39143365	133.86096706	0.11804241	0.09862624	0.09862624	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86096706
-0.05454282	-0.05377960	-0.99706210	0.69076486	0.71901392	-0.07656950	0.72101940	-0.69291178	-0.00206799	1.00840885	-0.42574505	-0.58266380	225.40368872	85.60698807	43.85206465	4.39140747	133.86116387	0.11848709	0.09862450	0.09862450	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86116387
-0.05454728	-0.05377479	-0.99706212	0.69076656	0.71901233	-0.07656913	0.72101745	-0.69291380	-0.00207434	1.00840882	-0.42574623	-0.58266260	225.40859550	85.60699962	43.85219790	4.39138604	133.86132504	0.11885122	0.09862308	0.09862308	EXTENSIONAL	RADIAL EXTENSIVE	999.99000000	133.86132504
