EIGENVECTOR1.X d	EIGENVECTOR1.Y d	EIGENVECTOR1.Z d	EIGENVECTOR2.X d	EIGENVECTOR2.Y d	EIGENVECTOR2.Z d	EIGENVECTOR3.X d	EIGENVECTOR3.Y d	EIGENVECTOR3.Z d	EIGENVALUE.X d	EIGENVALUE.Y d	EIGENVALUE.Z d	S_1.DIPDIR d	S_1.DIP d	S_2.DIPDIR d	S_2.DIP d	S_3.DIPDIR d	S_3.DIP d	stressratio d	delvaux_str d	regime s	delvaux_rgm s	shmax d	shmin d
0.33762150	0.91374900	-0.22599666	0.07934896	-0.26686853	-0.96046079	-0.93793148	0.30633962	-0.16260559	1.33153080	-0.57391236	-0.75761845	20.27878858	13.06149240	163.44102091	73.83435352	288.08765579	9.35816640	0.08793345	1.91206655	STRIKE-SLIP	TRANSPRESSIVE	20.27878858	110.27878858
0.33762150	0.91374900	-0.22599666	0.07934896	-0.26686853	-0.96046079	-0.93793148	0.30633962	-0.16260559	1.33153080	-0.57391236	-0.75761845	20.27878858	13.06149240	163.44102091	73.83435352	288.08765579	9.35816640	0.08793345	1.91206655	STRIKE-SLIP	TRANSPRESSIVE	20.27878858	110.27878858
0.32441990	0.91507641	-0.23955560	0.04830740	-0.26895067	-0.96194175	-0.94467885	0.30050074	-0.13145792	1.32347879	-0.56220075	-0.76127805	19.52082458	13.86031317	169.81742984	74.14197396	287.64577888	7.55384784	0.09549185	1.90450815	STRIKE-SLIP	TRANSPRESSIVE	19.52082458	109.52082458
0.31669768	0.91663161	-0.24390381	0.03337877	-0.26775030	-0.96290998	-0.94793905	0.29681014	-0.11539193	1.31507018	-0.55584509	-0.75922509	19.06011232	14.11706167	172.89395154	74.34627466	287.38591227	6.62623161	0.09804776	1.90195224	STRIKE-SLIP	TRANSPRESSIVE	19.06011232	109.06011232
0.31120383	0.91813995	-0.24529819	0.02793406	-0.26684130	-0.96333556	-0.94993256	0.29294155	-0.10868941	1.30728199	-0.55235812	-0.75492387	18.72410593	14.19945640	174.02380530	74.43690132	287.13879016	6.23977156	0.09822771	1.90177229	STRIKE-SLIP	TRANSPRESSIVE	18.72410593	108.72410593
0.30671718	0.91954728	-0.24567736	0.02593787	-0.26609785	-0.96359699	-0.95144721	0.28917941	-0.10546788	1.30020776	-0.55003772	-0.75017004	18.44624348	14.22186727	174.43268517	74.49282710	286.90593420	6.05412407	0.09760754	1.90239246	STRIKE-SLIP	TRANSPRESSIVE	18.44624348	108.44624348
0.30279238	0.92083938	-0.24570637	0.02512438	-0.26543156	-0.96380229	-0.95272532	0.28565877	-0.10350617	1.29382012	-0.54822292	-0.74559720	18.20200986	14.22358191	174.59278836	74.53688430	286.69048057	5.94110741	0.09677974	1.90322026	STRIKE-SLIP	TRANSPRESSIVE	18.20200986	108.20200986
0.29925925	0.92201745	-0.24561701	0.02470853	-0.26481574	-0.96398242	-0.95385187	0.28241182	-0.10203025	1.28806376	-0.54667503	-0.74138873	17.98187769	14.21830012	174.66947323	74.57564215	286.49271167	5.85609350	0.09594396	1.90405604	STRIKE-SLIP	TRANSPRESSIVE	17.98187769	107.98187769
0.29604398	0.92308860	-0.24549013	0.02442354	-0.26424227	-0.96414704	-0.95486201	0.27943418	-0.10077243	1.28287760	-0.54530365	-0.73757395	17.78157842	14.21080092	174.71923481	74.61114446	286.31177299	5.78365209	0.09516204	1.90483796	STRIKE-SLIP	TRANSPRESSIVE	17.78157842	107.78157842
0.29310684	0.92406157	-0.24535403	0.02418093	-0.26370792	-0.96429944	-0.95577386	0.27670988	-0.09963926	1.27820294	-0.54406990	-0.73413304	17.59871809	14.20275685	174.76086430	74.64408463	286.14646805	5.71839793	0.09444901	1.90555099	STRIKE-SLIP	TRANSPRESSIVE	17.59871809	107.59871809
0.29042073	0.92494518	-0.24521872	0.02395294	-0.26321065	-0.96444098	-0.95659921	0.27421994	-0.09859699	1.27398620	-0.54295327	-0.73103292	17.43160883	14.19475987	174.80023764	74.67473858	285.99554648	5.65838455	0.09380442	1.90619558	STRIKE-SLIP	TRANSPRESSIVE	17.43160883	107.43160883
0.28796374	0.92574772	-0.24508783	0.02373217	-0.26274865	-0.96457241	-0.95734720	0.27194542	-0.09763208	1.27017936	-0.54194020	-0.72823916	17.27886556	14.18702447	174.83889550	74.70325505	285.85780348	5.60283161	0.09322320	1.90677680	STRIKE-SLIP	TRANSPRESSIVE	17.27886556	107.27886556
0.28571665	0.92647680	-0.24496273	0.02351762	-0.26232014	-0.96469429	-0.95802553	0.26986828	-0.09673776	1.26673971	-0.54102010	-0.72571961	17.13926572	14.17963117	174.87699476	74.72974705	285.73211174	5.55134668	0.09269926	1.90730074	STRIKE-SLIP	TRANSPRESSIVE	17.13926572	107.13926572
0.28366195	0.92713933	-0.24484393	0.02331010	-0.26192327	-0.96480715	-0.95864098	0.26797175	-0.09590937	1.26362936	-0.54018401	-0.72344535	17.01169887	14.17261096	174.91430935	74.75431965	285.61742918	5.50366208	0.09222670	1.90777330	STRIKE-SLIP	TRANSPRESSIVE	17.01169887	107.01169887
0.28178360	0.92774157	-0.24473163	0.02311065	-0.26155622	-0.96491152	-0.95919961	0.26624034	-0.09514297	1.26081465	-0.53942397	-0.72139068	16.89514674	14.16597469	174.95055776	74.77707716	285.51279785	5.45954853	0.09180013	1.90819987	STRIKE-SLIP	TRANSPRESSIVE	16.89514674	106.89514674
0.28006680	0.92828917	-0.24462585	0.02292015	-0.26121715	-0.96500791	-0.95970686	0.26465981	-0.09443478	1.25826567	-0.53873286	-0.71953281	16.78867345	14.15972362	174.98550038	74.79812419	285.41733978	5.41878886	0.09141475	1.90858525	STRIKE-SLIP	TRANSPRESSIVE	16.78867345	106.78867345
0.27849791	0.92878722	-0.24452651	0.02273917	-0.26090428	-0.96509683	-0.96016761	0.26321711	-0.09378115	1.25595582	-0.53810427	-0.71785155	16.69141898	14.15385341	175.01896001	74.81756471	285.33025163	5.38117160	0.09106627	1.90893373	STRIKE-SLIP	TRANSPRESSIVE	16.69141898	106.69141898
0.27706438	0.92924034	-0.24443347	0.02256803	-0.26061588	-0.96517876	-0.96058629	0.26190028	-0.09317850	1.25386139	-0.53753240	-0.71632899	16.60259373	14.14835590	175.05081848	74.83550101	285.25079922	5.34649062	0.09075092	1.90924908	STRIKE-SLIP	TRANSPRESSIVE	16.60259373	106.60259373
0.27575470	0.92965268	-0.24434655	0.02240683	-0.26035027	-0.96525420	-0.96096685	0.26069835	-0.09262338	1.25196122	-0.53701201	-0.71494921	16.52147348	14.14322013	175.08100699	74.85203267	285.17831207	5.31454635	0.09046533	1.90953467	STRIKE-SLIP	TRANSPRESSIVE	16.52147348	106.52147348
0.27455828	0.93002801	-0.24426553	0.02225551	-0.26010584	-0.96532360	-0.96131287	0.25960134	-0.09211246	1.25023640	-0.53653834	-0.71369805	16.44739457	14.13843297	175.10949609	74.86725580	285.11217820	5.28514708	0.09020653	1.90979347	STRIKE-SLIP	TRANSPRESSIVE	16.44739457	106.44739457
0.27346542	0.93036973	-0.24419016	0.02211388	-0.25988107	-0.96538739	-0.96162760	0.25860008	-0.09164257	1.24866998	-0.53610712	-0.71256287	16.37974931	14.13397977	175.13628686	74.88126249	285.05183926	5.25810994	0.08997185	1.91002815	STRIKE-SLIP	TRANSPRESSIVE	16.37974931	106.37974931
0.27246723	0.93068091	-0.24412017	0.02198165	-0.25967452	-0.96544598	-0.96191393	0.25768623	-0.09121070	1.24724681	-0.53571444	-0.71153237	16.31798155	14.12984477	175.16140367	74.89414044	284.99678595	5.23326149	0.08975893	1.91024107	STRIKE-SLIP	TRANSPRESSIVE	16.31798155	106.31798155
0.27155556	0.93096433	-0.24405530	0.02185847	-0.25948483	-0.96549978	-0.96217451	0.25685215	-0.09081401	1.24595325	-0.53535680	-0.71059645	16.26158257	14.12601156	175.18488832	74.90597275	284.94655378	5.21043805	0.08956565	1.91043435	STRIKE-SLIP	TRANSPRESSIVE	16.26158257	106.26158257
0.27072295	0.93122253	-0.24399524	0.02174396	-0.25931072	-0.96554914	-0.96241170	0.25609089	-0.09044983	1.24477707	-0.53503101	-0.70974606	16.21008721	14.12246337	175.20679532	74.91683781	284.90071918	5.18948581	0.08939012	1.91060988	STRIKE-SLIP	TRANSPRESSIVE	16.21008721	106.21008721
0.26996258	0.93145779	-0.24393972	0.02163768	-0.25915098	-0.96559442	-0.96262766	0.25539607	-0.09011565	1.24370726	-0.53473418	-0.70897308	16.16307026	14.11918339	175.22718818	74.92680927	284.85889594	5.17026065	0.08923063	1.91076937	STRIKE-SLIP	TRANSPRESSIVE	16.16307026	106.16307026
0.26926822	0.93167217	-0.24388847	0.02153920	-0.25900450	-0.96563592	-0.96282433	0.25476190	-0.08980915	1.24273388	-0.53446369	-0.70827019	16.12014313	14.11615501	175.24613643	74.93595616	284.82073189	5.15262797	0.08908567	1.91091433	STRIKE-SLIP	TRANSPRESSIVE	16.12014313	106.12014313
0.26863415	0.93186757	-0.24384119	0.02144807	-0.25887023	-0.96567395	-0.96300346	0.25418308	-0.08952815	1.24184800	-0.53421717	-0.70763083	16.08095076	14.11336194	175.26371333	74.94434294	284.78590590	5.13646234	0.08895386	1.91104614	STRIKE-SLIP	TRANSPRESSIVE	16.08095076	106.08095076
0.26805516	0.93204568	-0.24379763	0.02136385	-0.25874719	-0.96570879	-0.96316666	0.25365477	-0.08927061	1.24104155	-0.53399247	-0.70704908	16.04516874	14.11078843	175.27999395	74.95202969	284.75412516	5.12164710	0.08883396	1.91116604	STRIKE-SLIP	TRANSPRESSIVE	16.04516874	106.04516874
0.26752648	0.93220805	-0.24375753	0.02128610	-0.25863450	-0.96574070	-0.96331536	0.25317256	-0.08903466	1.24030721	-0.53378762	-0.70651959	16.01250076	14.10841929	175.29505379	74.95907229	284.72512265	5.10807398	0.08872488	1.91127512	STRIKE-SLIP	TRANSPRESSIVE	16.01250076	106.01250076
0.26704375	0.93235609	-0.24372064	0.02121440	-0.25853130	-0.96576991	-0.96345087	0.25273243	-0.08881855	1.23963841	-0.53360085	-0.70603756	15.98267616	14.10624003	175.30896766	74.96552259	284.69865487	5.09564264	0.08862560	1.91137440	STRIKE-SLIP	TRANSPRESSIVE	15.98267616	105.98267616
0.26660298	0.93249109	-0.24368673	0.02114834	-0.25843683	-0.96579664	-0.96357439	0.25233069	-0.08862067	1.23902917	-0.53343055	-0.70559861	15.95544772	14.10423686	175.32180879	74.97142863	284.67449976	5.08426021	0.08853523	1.91146477	STRIKE-SLIP	TRANSPRESSIVE	15.95544772	105.95544772
0.26620054	0.93261419	-0.24365558	0.02108753	-0.25835036	-0.96582110	-0.96368698	0.25196401	-0.08843953	1.23847408	-0.53327525	-0.70519882	15.93058967	14.10239673	175.33364825	74.97683488	284.65245477	5.07384085	0.08845293	1.91154707	STRIKE-SLIP	TRANSPRESSIVE	15.93058967	105.93058967
0.26583310	0.93272646	-0.24362699	0.02103158	-0.25827125	-0.96584348	-0.96378962	0.25162930	-0.08827376	1.23796824	-0.53313362	-0.70483462	15.90789586	14.10070737	175.34455446	74.98178241	284.63233519	5.06430530	0.08837798	1.91162202	STRIKE-SLIP	TRANSPRESSIVE	15.90789586	105.90789586
0.26549761	0.93282887	-0.24360075	0.02098015	-0.25819887	-0.96586395	-0.96388321	0.25132379	-0.08812207	1.23750723	-0.53300444	-0.70450279	15.88717800	14.09915723	175.35459286	74.98630912	284.61397252	5.05558049	0.08830971	1.91169029	STRIKE-SLIP	TRANSPRESSIVE	15.88717800	105.88717800
0.26519132	0.93292227	-0.24357668	0.02093290	-0.25813267	-0.96588267	-0.96396856	0.25104493	-0.08798331	1.23708700	-0.53288661	-0.70420039	15.86826416	14.09773552	175.36382575	74.99044997	284.59721305	5.04759903	0.08824751	1.91175249	STRIKE-SLIP	TRANSPRESSIVE	15.86826416	105.86826416
0.26491167	0.93300748	-0.24355462	0.02088952	-0.25807213	-0.96589979	-0.96404639	0.25079039	-0.08785639	1.23670389	-0.53277912	-0.70392477	15.85099737	14.09643216	175.37231208	74.99423715	284.58191659	5.04029892	0.08819083	1.91180917	STRIKE-SLIP	TRANSPRESSIVE	15.85099737	105.85099737
0.26465636	0.93308521	-0.24353440	0.02084970	-0.25801678	-0.96591544	-0.96411737	0.25055804	-0.08774033	1.23635460	-0.53268106	-0.70367354	15.83523428	14.09523776	175.38010751	74.99770029	284.56795521	5.03362309	0.08813917	1.91186083	STRIKE-SLIP	TRANSPRESSIVE	15.83523428	105.83523428
0.26442327	0.93315613	-0.24351588	0.02081318	-0.25796617	-0.96592974	-0.96418211	0.25034596	-0.08763420	1.23603610	-0.53259161	-0.70344449	15.82084401	14.09414359	175.38726433	75.00086662	284.55521222	5.02751909	0.08809208	1.91190792	STRIKE-SLIP	TRANSPRESSIVE	15.82084401	105.82084401
0.26421046	0.93322083	-0.24349891	0.02077969	-0.25791992	-0.96594281	-0.96424117	0.25015237	-0.08753718	1.23574565	-0.53250999	-0.70323566	15.80770706	14.09314157	175.39383155	75.00376119	284.54358116	5.02193869	0.08804916	1.91195084	STRIKE-SLIP	TRANSPRESSIVE	15.80770706	105.80770706
0.26401618	0.93327986	-0.24348338	0.02074900	-0.25787764	-0.96595476	-0.96429505	0.24997565	-0.08744849	1.23548075	-0.53243552	-0.70304523	15.79571431	14.09222419	175.39985501	75.00640697	284.53296488	5.01683764	0.08801002	1.91198998	STRIKE-SLIP	TRANSPRESSIVE	15.79571431	105.79571431
0.26383882	0.93333372	-0.24346917	0.02072088	-0.25783900	-0.96596568	-0.96434419	0.24981435	-0.08736743	1.23523914	-0.53236757	-0.70287157	15.78476615	14.09138454	175.40537741	75.00882508	284.52327475	5.01217530	0.08797434	1.91202566	STRIKE-SLIP	TRANSPRESSIVE	15.78476615	105.78476615
0.26367689	0.93338288	-0.24345616	0.02069512	-0.25780369	-0.96597566	-0.96438903	0.24966710	-0.08729335	1.23501875	-0.53230557	-0.70271319	15.77477163	14.09061620	175.41043852	75.01103488	284.51442988	5.00791439	0.08794179	1.91205821	STRIKE-SLIP	TRANSPRESSIVE	15.77477163	105.77477163
0.26352907	0.93342773	-0.24344427	0.02067154	-0.25777143	-0.96598477	-0.96442995	0.24953270	-0.08722565	1.23481771	-0.53224899	-0.70256873	15.76564771	14.08991328	175.41507528	75.01305412	284.50635648	5.00402073	0.08791212	1.91208788	STRIKE-SLIP	TRANSPRESSIVE	15.76564771	105.76564771
0.26339411	0.93346866	-0.24343338	0.02064995	-0.25774196	-0.96599310	-0.96446727	0.24941001	-0.08716379	1.23463431	-0.53219736	-0.70243695	15.75731858	14.08927032	175.41932191	75.01489906	284.49898719	5.00046299	0.08788505	1.91211495	STRIKE-SLIP	TRANSPRESSIVE	15.75731858	105.75731858
0.26327091	0.93350601	-0.24342343	0.02063019	-0.25771503	-0.96600070	-0.96450133	0.24929801	-0.08710728	1.23446698	-0.53215024	-0.70231675	15.74971501	14.08868233	175.42321012	75.01658463	284.49226057	4.99721244	0.08786036	1.91213964	STRIKE-SLIP	TRANSPRESSIVE	15.74971501	105.74971501
0.26315844	0.93354009	-0.24341433	0.02061211	-0.25769043	-0.96600765	-0.96453241	0.24919578	-0.08705564	1.23431432	-0.53210724	-0.70220708	15.74277383	14.08814468	175.42676924	75.01812447	284.48612052	4.99424278	0.08783783	1.91216217	STRIKE-SLIP	TRANSPRESSIVE	15.74277383	105.74277383
0.26305576	0.93357120	-0.24340601	0.02059557	-0.25766797	-0.96601400	-0.96456078	0.24910246	-0.08700847	1.23417503	-0.53206800	-0.70210703	15.73643734	14.08765314	175.43002634	75.01953110	284.48051586	4.99152993	0.08781729	1.91218271	STRIKE-SLIP	TRANSPRESSIVE	15.73643734	105.73643734
0.26296202	0.93359959	-0.24339840	0.02058044	-0.25764744	-0.96601979	-0.96458666	0.24901727	-0.08696539	1.23404793	-0.53203218	-0.70201575	15.73065287	14.08720381	175.43300639	75.02081596	284.47539988	4.98905184	0.08779854	1.91220146	STRIKE-SLIP	TRANSPRESSIVE	15.73065287	105.73065287
0.26287645	0.93362550	-0.24339145	0.02056661	-0.25762870	-0.96602509	-0.96461028	0.24893951	-0.08692603	1.23393196	-0.53199950	-0.70193246	15.72537235	14.08679312	175.43573243	75.02198953	284.47072994	4.98678831	0.08778144	1.91221856	STRIKE-SLIP	TRANSPRESSIVE	15.72537235	105.72537235
0.26279833	0.93364915	-0.24338509	0.02055396	-0.25761158	-0.96602992	-0.96463183	0.24886853	-0.08689008	1.23382613	-0.53196967	-0.70185646	15.72055187	14.08641779	175.43822564	75.02306139	284.46646714	4.98472088	0.08776583	1.91223417	STRIKE-SLIP	TRANSPRESSIVE	15.72055187	105.72055187
0.26272702	0.93367073	-0.24337929	0.02054240	-0.25759594	-0.96603434	-0.96465150	0.24880373	-0.08685725	1.23372955	-0.53194244	-0.70178712	15.71615137	14.08607481	175.44050554	75.02404031	284.46257596	4.98283265	0.08775160	1.91224840	STRIKE-SLIP	TRANSPRESSIVE	15.71615137	105.71615137
0.26266192	0.93369043	-0.24337398	0.02053183	-0.25758166	-0.96603837	-0.96466946	0.24874458	-0.08682727	1.23364142	-0.53191759	-0.70172383	15.71213425	14.08576142	175.44259007	75.02493432	284.45902400	4.98110815	0.08773860	1.91226140	STRIKE-SLIP	TRANSPRESSIVE	15.71213425	105.71213425
0.26260249	0.93370841	-0.24336913	0.02052217	-0.25756862	-0.96604205	-0.96468584	0.24869058	-0.08679988	1.23356099	-0.53189491	-0.70166609	15.70846713	14.08547509	175.44449570	75.02575075	284.45578166	4.97953327	0.08772675	1.91227325	STRIKE-SLIP	TRANSPRESSIVE	15.70846713	105.70846713
0.26254824	0.93372482	-0.24336471	0.02051334	-0.25755672	-0.96604541	-0.96470080	0.24864130	-0.08677488	1.23348759	-0.53187420	-0.70161339	15.70511951	14.08521350	175.44623756	75.02649631	284.45282196	4.97809506	0.08771593	1.91228407	STRIKE-SLIP	TRANSPRESSIVE	15.70511951	105.70511951
0.26249871	0.93373980	-0.24336066	0.02050527	-0.25754584	-0.96604848	-0.96471445	0.24859630	-0.08675204	1.23342060	-0.53185531	-0.70156529	15.70206356	14.08497454	175.44782956	75.02717713	284.45012024	4.97678171	0.08770606	1.91229394	STRIKE-SLIP	TRANSPRESSIVE	15.70206356	105.70206356
0.26245350	0.93375347	-0.24335697	0.02049790	-0.25753592	-0.96605129	-0.96472690	0.24855523	-0.08673119	1.23335946	-0.53183806	-0.70152140	15.69927387	14.08475625	175.44928442	75.02779880	284.44765401	4.97558242	0.08769705	1.91230295	STRIKE-SLIP	TRANSPRESSIVE	15.69927387	105.69927387
0.26241222	0.93376595	-0.24335359	0.02049117	-0.25752685	-0.96605385	-0.96473827	0.24851774	-0.08671215	1.23330366	-0.53182232	-0.70148134	15.69672724	14.08455687	175.45061384	75.02836646	284.44540274	4.97448732	0.08768883	1.91231117	STRIKE-SLIP	TRANSPRESSIVE	15.69672724	105.69672724
0.26237454	0.93377734	-0.24335051	0.02048502	-0.25751857	-0.96605618	-0.96474865	0.24848351	-0.08669476	1.23325273	-0.53180795	-0.70144478	15.69440249	14.08437476	175.45182852	75.02888479	284.44334769	4.97348737	0.08768132	1.91231868	STRIKE-SLIP	TRANSPRESSIVE	15.69440249	105.69440249
