DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1372.33000000	14	1363.84000000	1383.84000000	-0.98146557	-0.18551116	-0.04807229	259.29654405	2.75540157	124.74999987	11.76941030	0.00460202	0.00022421
1373.32000000	15	1364.84000000	1384.84000000	-0.97671155	-0.20937088	-0.04688697	257.90100585	2.68741055	125.52662856	11.42211829	0.02120985	0.00291820
1374.04000000	18	1365.84000000	1385.84000000	-0.99099228	-0.12908283	-0.03566393	262.57865657	2.04382633	126.05096534	10.80935791	0.02712032	0.00113730
1374.66000000	19	1366.84000000	1386.84000000	-0.99870622	-0.03960424	-0.03189643	267.72909436	1.82784106	123.39451572	10.65068154	0.05341744	0.00124488
1375.93000000	22	1367.84000000	1387.84000000	-0.94801285	0.31736707	-0.02344755	288.50904408	1.34356888	112.59510030	10.25401521	0.00217216	0.00008872
1379.37000000	23	1368.84000000	1388.84000000	-0.93461657	0.35498721	-0.02181639	290.79784002	1.25008612	112.40569291	10.09053560	0.00000000	0.00000000
1379.37000000	23	1369.84000000	1389.84000000	-0.93461657	0.35498721	-0.02181639	290.79784002	1.25008612	112.40569291	10.09053560	0.07110020	0.00136526
1384.71500000	17	1370.84000000	1390.84000000	0.73242099	0.67813256	-0.06079251	47.20407339	3.48530345	17.57802965	1.99426546	0.00000000	0.00000000
1384.71500000	17	1371.84000000	1391.84000000	0.73242099	0.67813256	-0.06079251	47.20407339	3.48530345	17.57802965	1.99426546	0.00036778	0.00112271
1385.02000000	16	1372.84000000	1392.84000000	0.73209458	0.67864618	-0.05896516	47.16971409	3.38041581	18.11292096	2.02177827	0.12126419	0.00385023
1385.23000000	14	1373.84000000	1393.84000000	0.63337041	0.77191667	-0.05464958	39.36944533	3.13275117	13.74227920	1.86572906	0.02210056	0.00258151
1385.82500000	15	1374.84000000	1394.84000000	0.57782502	0.81483788	-0.04644853	35.34155212	2.66226290	11.11871460	1.85503709	0.00542402	0.00153966
1386.49000000	15	1375.84000000	1395.84000000	0.56214054	0.82602581	-0.04098006	34.23670848	2.34864240	11.18305914	1.83400923	0.00197412	0.00137526
1386.99000000	14	1376.84000000	1396.84000000	0.55785421	0.82910005	-0.03730676	33.93436422	2.13801619	11.64226327	1.71988179	0.00000000	0.00000000
1386.99000000	14	1377.84000000	1397.84000000	0.55785421	0.82910005	-0.03730676	33.93436422	2.13801619	11.64226327	1.71988179	0.00000000	0.00000000
1387.07500000	15	1378.84000000	1398.84000000	0.60965009	0.79159687	-0.04124521	37.60174637	2.36384696	11.92197598	1.90419938	0.00000000	0.00000000
1387.16000000	16	1379.84000000	1399.84000000	0.66281647	0.74749285	-0.04391781	41.56402916	2.51711489	13.67948624	1.98731802	0.00000000	0.00000000
1387.16000000	16	1380.84000000	1400.84000000	0.66281647	0.74749285	-0.04391781	41.56402916	2.51711489	13.67948624	1.98731802	0.00000000	0.00000000
1387.16000000	16	1381.84000000	1401.84000000	0.66281647	0.74749285	-0.04391781	41.56402916	2.51711489	13.67948624	1.98731802	0.00636745	0.00124297
1387.78000000	16	1382.84000000	1402.84000000	0.64700560	0.76144572	-0.03980153	40.35478214	2.28106223	14.12679642	1.89672754	0.11440476	0.00055078
1388.06500000	17	1383.84000000	1403.84000000	0.50516078	0.86214527	-0.03896300	30.36751521	2.23298048	23.72066826	2.13564398	0.00003027	0.00008119
1391.23000000	15	1384.84000000	1404.84000000	0.50469163	0.86235688	-0.04033570	30.33816956	2.31169278	25.25219238	2.24569992	0.00094634	0.00016928
1394.72500000	13	1385.84000000	1405.84000000	0.48942547	0.87125238	-0.03717515	29.32507218	2.13047034	55.04586785	2.42859466	0.00633311	0.00119125
1395.03000000	12	1386.84000000	1406.84000000	0.49843126	0.86621293	-0.03523404	29.91673563	2.01917959	57.37999787	2.54416095	0.00007126	0.00056875
1398.64500000	9	1387.84000000	1407.84000000	0.49740059	0.86718206	-0.02424728	29.83783442	1.38940291	65.26956814	2.81230085	0.01639624	0.00018875
1399.14000000	8	1388.84000000	1408.84000000	0.45931204	0.88793021	-0.02474662	27.35179963	1.41802191	68.06728797	2.96699483	0.00000000	0.00000000
1399.14000000	8	1389.84000000	1409.84000000	0.45931204	0.88793021	-0.02474662	27.35179963	1.41802191	68.06728797	2.96699483	0.00000000	0.00000000
1399.14000000	8	1390.84000000	1410.84000000	0.45931204	0.88793021	-0.02474662	27.35179963	1.41802191	68.06728797	2.96699483	0.00000000	0.00000000
1399.14000000	8	1391.84000000	1411.84000000	0.45931204	0.88793021	-0.02474662	27.35179963	1.41802191	68.06728797	2.96699483	0.00000000	0.00000000
1399.14000000	8	1392.84000000	1412.84000000	0.45931204	0.88793021	-0.02474662	27.35179963	1.41802191	68.06728797	2.96699483	0.00000000	0.00000000
1399.14000000	8	1393.84000000	1413.84000000	0.45931204	0.88793021	-0.02474662	27.35179963	1.41802191	68.06728797	2.96699483	0.00148580	0.00025970
1402.72000000	6	1394.84000000	1414.84000000	0.43382117	0.90050886	-0.02971508	25.72249525	1.70279957	77.67097610	3.18677724	0.00256969	0.00369984
1402.97000000	5	1395.84000000	1415.84000000	0.43065730	0.90184985	-0.03465742	25.52571662	1.98612178	84.94907220	3.20612063	1.00000000	0.01855053
1403.22000000	6	1396.84000000	1416.84000000	-0.77766980	0.62859545	-0.00987107	308.94882967	0.56557982	89.07093877	5.52150961	0.25893910	0.00023000
1404.23000000	7	1397.84000000	1417.84000000	0.48564920	0.87408315	-0.01111291	29.05698058	0.63673618	96.68923731	5.33910810	0.34598034	0.00050264
1405.24000000	6	1398.84000000	1418.84000000	-0.97803747	0.20825987	-0.00839901	282.02082582	0.48123330	102.76911926	5.46040979	0.00507801	0.00012304
1416.59000000	6	1399.84000000	1419.84000000	-0.99504522	-0.09814953	-0.01586443	264.36666691	0.90900295	112.76062579	4.78813176	0.00000000	0.00000000
1416.59000000	6	1400.84000000	1420.84000000	-0.99504522	-0.09814953	-0.01586443	264.36666691	0.90900295	112.76062579	4.78813176	0.00000000	0.00000000
1416.59000000	6	1401.84000000	1421.84000000	-0.99504522	-0.09814953	-0.01586443	264.36666691	0.90900295	112.76062579	4.78813176	0.08284928	0.00258097
1417.03500000	5	1402.84000000	1422.84000000	-0.95644864	-0.29107018	-0.02200345	253.07374178	1.26080673	117.46977957	4.93919732	0.44245356	0.00353820
1417.48000000	4	1403.84000000	1423.84000000	-0.22083839	-0.97483596	-0.03041793	192.76428668	1.74308785	89.25124636	4.43322829	0.00000000	0.00000000
1417.48000000	4	1404.84000000	1424.84000000	-0.22083839	-0.97483596	-0.03041793	192.76428668	1.74308785	89.25124636	4.43322829	0.04928815	0.00093835
1418.64500000	3	1405.84000000	1425.84000000	0.08407166	-0.99615660	-0.02457594	175.17589571	1.40823930	91.19331705	5.32308101	0.00000000	0.00000000
1418.64500000	3	1406.84000000	1426.84000000	0.08407166	-0.99615660	-0.02457594	175.17589571	1.40823930	91.19331705	5.32308101	0.00000000	0.00000000
1418.64500000	3	1407.84000000	1427.84000000	0.08407166	-0.99615660	-0.02457594	175.17589571	1.40823930	91.19331705	5.32308101	0.16105902	0.00295563
1419.81000000	4	1408.84000000	1428.84000000	0.88535843	-0.46486812	-0.00617019	117.70226030	0.35352813	83.52563342	5.64887019	0.11591023	0.00049329
1424.12500000	5	1409.84000000	1429.84000000	-0.58058903	0.81400763	-0.01754878	324.50172499	1.00552280	83.65027645	5.12785090	0.01758169	0.00003860
1428.44000000	6	1410.84000000	1430.84000000	-0.21231646	0.97702698	-0.01843911	347.73974604	1.05654305	73.74183852	4.68989405	0.00000000	0.00000000
1428.44000000	6	1411.84000000	1431.84000000	-0.21231646	0.97702698	-0.01843911	347.73974604	1.05654305	73.74183852	4.68989405	0.00000000	0.00000000
1428.44000000	6	1412.84000000	1432.84000000	-0.21231646	0.97702698	-0.01843911	347.73974604	1.05654305	73.74183852	4.68989405	0.00000000	0.00000000
1428.44000000	6	1413.84000000	1433.84000000	-0.21231646	0.97702698	-0.01843911	347.73974604	1.05654305	73.74183852	4.68989405	0.24001810	0.00104959
1429.07500000	7	1414.84000000	1434.84000000	0.56518345	0.82467181	-0.02200148	34.42453628	1.26069396	74.96071041	4.62138758	0.00000000	0.00000000
1429.07500000	7	1415.84000000	1435.84000000	0.56518345	0.82467181	-0.02200148	34.42453628	1.26069396	74.96071041	4.62138758	0.02932233	0.00923017
1429.71000000	6	1416.84000000	1436.84000000	0.64357928	0.76352048	-0.05331216	40.12788466	3.05601053	42.27004567	2.08886103	0.06090053	0.00131730
1430.26000000	5	1417.84000000	1437.84000000	0.49739475	0.86611417	-0.04944396	29.86802369	2.83408601	43.62865508	2.24483525	0.00000000	0.00000000
1430.26000000	5	1418.84000000	1438.84000000	0.49739475	0.86611417	-0.04944396	29.86802369	2.83408601	43.62865508	2.24483525	0.04784367	0.00137634
1430.81000000	4	1419.84000000	1439.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.00000000	0.00000000
1430.81000000	4	1420.84000000	1440.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.00000000	0.00000000
1430.81000000	4	1421.84000000	1441.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.00000000	0.00000000
1430.81000000	4	1422.84000000	1442.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.00000000	0.00000000
1430.81000000	4	1423.84000000	1443.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.00000000	0.00000000
1430.81000000	4	1424.84000000	1444.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.00000000	0.00000000
1430.81000000	4	1425.84000000	1445.84000000	0.37096316	0.92710605	-0.05348552	21.80784178	3.06595763	43.84668691	2.33925299	0.02938813	0.00081739
1440.46500000	7	1426.84000000	1446.84000000	-0.90701965	0.42093611	-0.01132013	294.89540559	0.64860947	87.98565261	4.09937145	0.01218539	0.00001212
1446.32500000	9	1427.84000000	1447.84000000	-0.99854860	0.05273518	-0.01094053	273.02308676	0.62685853	86.98644470	3.64468998	0.58000167	0.00554833
1446.49000000	8	1428.84000000	1448.84000000	-0.89644647	-0.44286905	-0.01583428	243.70936984	0.90727533	85.08731720	3.48679013	0.48516118	0.01085905
1446.69000000	8	1429.84000000	1449.84000000	-0.55880386	-0.82884569	-0.02744216	213.98766336	1.57251729	79.44875966	2.77480685	0.00825050	0.01052567
1446.87500000	7	1430.84000000	1450.84000000	-0.56535624	-0.82397812	-0.03784670	214.45519355	2.16897439	52.27095224	2.51638063	0.00000000	0.00000000
1446.87500000	7	1431.84000000	1451.84000000	-0.56535624	-0.82397812	-0.03784670	214.45519355	2.16897439	52.27095224	2.51638063	0.00414889	0.00483931
1447.06000000	8	1432.84000000	1452.84000000	-0.56206585	-0.82643135	-0.03306353	214.22008871	1.89474589	60.74241624	2.60978459	0.00000000	0.00000000
1447.06000000	8	1433.84000000	1453.84000000	-0.56206585	-0.82643135	-0.03306353	214.22008871	1.89474589	60.74241624	2.60978459	0.22022693	0.01620466
1447.25500000	7	1434.84000000	1454.84000000	-0.73487448	-0.67636181	-0.04994188	227.37423731	2.86264956	44.21612077	1.96453079	0.05876787	0.00302932
1448.43500000	9	1435.84000000	1455.84000000	-0.93071114	-0.36445190	-0.03084769	248.61546742	1.76772300	79.67601535	2.73094847	0.00000000	0.00000000
1448.43500000	9	1436.84000000	1456.84000000	-0.93071114	-0.36445190	-0.03084769	248.61546742	1.76772300	79.67601535	2.73094847	0.00000000	0.00000000
1448.43500000	9	1437.84000000	1457.84000000	-0.93071114	-0.36445190	-0.03084769	248.61546742	1.76772300	79.67601535	2.73094847	0.00000000	0.00000000
1448.43500000	9	1438.84000000	1458.84000000	-0.93071114	-0.36445190	-0.03084769	248.61546742	1.76772300	79.67601535	2.73094847	0.00000000	0.00000000
1448.43500000	9	1439.84000000	1459.84000000	-0.93071114	-0.36445190	-0.03084769	248.61546742	1.76772300	79.67601535	2.73094847	0.04077352	0.00110649
1450.85000000	11	1440.84000000	1460.84000000	-0.98815416	0.15256778	-0.01656620	278.77697641	0.94921687	91.12134659	3.25510142	0.05703876	0.00036861
1453.88500000	13	1441.84000000	1461.84000000	-0.47248298	0.88127622	-0.01058587	331.80268526	0.60653706	92.74690569	3.58154886	0.01334476	0.00011012
1455.49000000	14	1442.84000000	1462.84000000	-0.36870317	0.92949719	-0.00964107	338.36328318	0.55240092	93.84407524	3.49490063	0.00000000	0.00000000
1455.49000000	14	1443.84000000	1463.84000000	-0.36870317	0.92949719	-0.00964107	338.36328318	0.55240092	93.84407524	3.49490063	0.00000000	0.00000000
1455.49000000	14	1444.84000000	1464.84000000	-0.36870317	0.92949719	-0.00964107	338.36328318	0.55240092	93.84407524	3.49490063	0.00000000	0.00000000
1455.49000000	14	1445.84000000	1465.84000000	-0.36870317	0.92949719	-0.00964107	338.36328318	0.55240092	93.84407524	3.49490063	0.05158951	0.00132861
1458.07500000	11	1446.84000000	1466.84000000	0.32893730	0.94393662	-0.02799835	19.21211350	1.60439702	86.36088569	2.74294074	0.00356532	0.00078901
1460.49500000	9	1447.84000000	1467.84000000	0.37198652	0.92745175	-0.03820057	21.85495623	2.18926429	60.94422101	2.69142117	0.00000000	0.00000000
1460.49500000	9	1448.84000000	1468.84000000	0.37198652	0.92745175	-0.03820057	21.85495623	2.18926429	60.94422101	2.69142117	0.00000000	0.00000000
1460.59000000	8	1449.84000000	1469.84000000	0.49843533	0.86535260	-0.05222170	29.94155635	2.99344449	36.96164753	2.41823189	0.00422046	0.00153684
1461.13000000	9	1450.84000000	1470.84000000	0.50905456	0.85940649	-0.04779057	30.63964550	2.73924142	35.31152102	2.41111379	0.00000000	0.00000000
1461.13000000	9	1451.84000000	1471.84000000	0.50905456	0.85940649	-0.04779057	30.63964550	2.73924142	35.31152102	2.41111379	0.00084961	0.00206728
1461.67000000	8	1452.84000000	1472.84000000	0.50679136	0.86039140	-0.05375085	30.49911453	3.08118158	24.02752410	2.30929627	0.00000000	0.00000000
1461.67000000	8	1453.84000000	1473.84000000	0.50679136	0.86039140	-0.05375085	30.49911453	3.08118158	24.02752410	2.30929627	0.00000000	0.00000000
1461.74500000	9	1454.84000000	1474.84000000	0.53624580	0.84224133	-0.05540739	32.48445950	3.17623638	22.29611825	2.18715086	0.15154107	0.00033893
1461.98000000	7	1455.84000000	1475.84000000	0.68592371	0.72552836	-0.05583255	43.39273046	3.20063357	14.63773025	1.73302736	0.00000000	0.00000000
1461.98000000	7	1456.84000000	1476.84000000	0.68592371	0.72552836	-0.05583255	43.39273046	3.20063357	14.63773025	1.73302736	0.00000000	0.00000000
1461.98000000	7	1457.84000000	1477.84000000	0.68592371	0.72552836	-0.05583255	43.39273046	3.20063357	14.63773025	1.73302736	0.00000000	0.00000000
1461.98000000	7	1458.84000000	1478.84000000	0.68592371	0.72552836	-0.05583255	43.39273046	3.20063357	14.63773025	1.73302736	0.00000000	0.00000000
1461.98000000	7	1459.84000000	1479.84000000	0.68592371	0.72552836	-0.05583255	43.39273046	3.20063357	14.63773025	1.73302736	0.00553870	0.00029071
1466.31000000	5	1460.84000000	1480.84000000	0.77333425	0.63209344	-0.04911228	50.73876738	2.81505877	11.58692413	1.88006558	0.00019665	0.00050068
1472.47500000	3	1461.84000000	1481.84000000	0.76974059	0.63752260	-0.03262458	50.36741050	1.86958236	14.41953862	1.51215142	0.00721530	0.00087087
1474.47000000	2	1462.84000000	1482.84000000	0.71820210	0.69457153	-0.04190631	45.95826079	2.40175790	4.91027530	1.63500321	0.00000000	0.00000000
1474.47000000	2	1463.84000000	1483.84000000	0.71820210	0.69457153	-0.04190631	45.95826079	2.40175790	4.91027530	1.63500321	0.00000000	0.00000000
1474.47000000	2	1464.84000000	1484.84000000	0.71820210	0.69457153	-0.04190631	45.95826079	2.40175790	4.91027530	1.63500321	0.00071657	0.00007144
1480.04000000	3	1465.84000000	1485.84000000	0.73279097	0.67902770	-0.04403160	47.18081907	2.52364088	3.75048207	1.34601832	0.00139836	0.00008121
1485.61000000	4	1466.84000000	1486.84000000	0.76033894	0.64786367	-0.04644730	49.56660624	2.66219223	4.13832835	1.19185291	0.02611479	0.00647422
1485.88000000	6	1467.84000000	1487.84000000	0.78452086	0.61899098	-0.03711035	51.72637892	2.12675479	8.37807515	1.28960270	0.01609388	0.00035186
1486.57500000	7	1468.84000000	1488.84000000	0.82007000	0.57097228	-0.03841676	55.15250350	2.20166021	9.27360176	1.21506610	0.00000000	0.00000000
1486.57500000	7	1469.84000000	1489.84000000	0.82007000	0.57097228	-0.03841676	55.15250350	2.20166021	9.27360176	1.21506610	0.07733082	0.00139639
1487.70000000	8	1470.84000000	1490.84000000	0.98869234	0.14246582	-0.04680747	81.80039288	2.68285082	29.29804208	1.68852780	0.00000000	0.00000000
1487.70000000	8	1471.84000000	1491.84000000	0.98869234	0.14246582	-0.04680747	81.80039288	2.68285082	29.29804208	1.68852780	0.00000000	0.00000000
1487.70000000	8	1472.84000000	1492.84000000	0.98869234	0.14246582	-0.04680747	81.80039288	2.68285082	29.29804208	1.68852780	0.00000000	0.00000000
1487.70000000	8	1473.84000000	1493.84000000	0.98869234	0.14246582	-0.04680747	81.80039288	2.68285082	29.29804208	1.68852780	0.07904035	0.00055681
1488.01500000	7	1474.84000000	1494.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1475.84000000	1495.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1476.84000000	1496.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1477.84000000	1497.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1478.84000000	1498.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1479.84000000	1499.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1480.84000000	1500.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1481.84000000	1501.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1482.84000000	1502.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1483.84000000	1503.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.00000000	0.00000000
1488.01500000	7	1484.84000000	1504.84000000	0.99889738	0.00999440	-0.04587081	89.42674986	2.62912625	30.08616579	1.74386618	0.06498362	0.00105381
1488.33000000	6	1485.84000000	1505.84000000	0.99393110	-0.09915174	-0.04764349	95.69681683	2.73080471	30.24781982	1.85812062	0.02877694	0.00036021
1489.25500000	5	1486.84000000	1506.84000000	0.96973791	-0.23909366	-0.04942269	103.85031619	2.83286566	31.11638005	2.01073759	0.01997015	0.00422400
1490.32000000	3	1487.84000000	1507.84000000	0.93496454	-0.34705889	-0.07342636	110.36492863	4.21081009	25.00010782	1.28455795	0.22259994	0.02567160
1490.46000000	2	1488.84000000	1508.84000000	0.86308149	-0.49650826	-0.09257369	119.91069448	5.31168697	9.15842500	0.29781839	0.00000000	0.00000000
1490.46000000	2	1489.84000000	1509.84000000	0.86308149	-0.49650826	-0.09257369	119.91069448	5.31168697	9.15842500	0.29781839	0.00000000	0.00000000
1490.46000000	0	1490.84000000	1510.84000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.00000000	0.00000000
1490.46000000	0	1491.84000000	1511.84000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.00000000	0.00000000
1490.46000000	0	1492.84000000	1512.84000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.00000000	0.00000000
1490.46000000	0	1493.84000000	1513.84000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.00000000	0.00000000
1490.46000000	0	1494.84000000	1514.84000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.00000000	0.00000000
1490.46000000	0	1495.84000000	1515.84000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.00000000	0.00000000
1516.60000000	3	1496.84000000	1516.84000000	-0.90228479	-0.40710738	-0.14193570	245.71528894	8.15987238	7.92542311	3.61401206	0.00000000	0.00000000
1516.60000000	3	1497.84000000	1517.84000000	-0.90228479	-0.40710738	-0.14193570	245.71528894	8.15987238	7.92542311	3.61401206	0.00000000	0.00000000
