DEPTH d	SIZE i	MIN d	MAX d	INT_AV_D.X d	INT_AV_D.Y d	INT_AV_D.Z d	INT_AV_DD.DIPDIR d	INT_AV_DD.DIP d	INT_AV_DD_STDEV d	INT_AV_D_STDEV d	DD_DERIV d	D_DERIV d
1413.23000000	6	1396.84000000	1416.84000000	-0.40178744	-0.91491447	-0.03870876	203.70882403	2.21840293	52.00814399	2.04598587	0.14253783	0.00046770
1414.56000000	8	1397.84000000	1417.84000000	-0.67759161	-0.73447544	-0.03762235	222.69313927	2.15611076	56.27044182	2.09015189	0.04844381	0.00242100
1415.71000000	8	1398.84000000	1418.84000000	-0.74591300	-0.66523728	-0.03275924	228.27204847	1.87730219	58.07174658	2.34857479	0.18368286	0.00305853
1416.29500000	7	1399.84000000	1419.84000000	-0.85708433	-0.51432316	-0.02963354	239.03267699	1.69812555	60.55619506	2.51602743	0.00000000	0.00000000
1416.29500000	7	1400.84000000	1420.84000000	-0.85708433	-0.51432316	-0.02963354	239.03267699	1.69812555	60.55619506	2.51602743	0.00000000	0.00000000
1416.29500000	7	1401.84000000	1421.84000000	-0.85708433	-0.51432316	-0.02963354	239.03267699	1.69812555	60.55619506	2.51602743	0.24167340	0.00381553
1417.18000000	9	1402.84000000	1422.84000000	-0.98586628	-0.16584446	-0.02373380	260.45099064	1.35997432	67.76120438	2.49364259	0.00000000	0.00000000
1417.18000000	9	1403.84000000	1423.84000000	-0.98586628	-0.16584446	-0.02373380	260.45099064	1.35997432	67.76120438	2.49364259	0.77730645	0.00674910
1417.48000000	8	1404.84000000	1424.84000000	-0.83943773	-0.54308050	-0.02019584	237.09885133	1.15721534	70.96513442	2.42200793	0.00000000	0.00000000
1417.48000000	8	1405.84000000	1425.84000000	-0.83943773	-0.54308050	-0.02019584	237.09885133	1.15721534	70.96513442	2.42200793	0.46691588	0.01166450
1417.88000000	10	1406.84000000	1426.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.00000000	0.00000000
1417.88000000	10	1407.84000000	1427.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.00000000	0.00000000
1417.88000000	10	1408.84000000	1428.84000000	-0.96906375	-0.24517712	-0.02834828	255.80187304	1.62445453	63.10765629	2.13970057	0.00000000	0.00000000
