DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1630.35500000	0.09106979	1630.82500000	0.01476550
1631.29500000	0.13086921	1631.56250000	0.15749229
1631.83000000	0.37247864	1632.10000000	0.14101295
1632.37000000	0.15412845	1632.74500000	0.00021461
1633.12000000	0.15458999	1633.53000000	0.00618508
1633.94000000	0.16913319	1634.35250000	0.00975915
1634.76500000	0.19222015	1635.15000000	0.00024275
1635.53500000	0.19275614	1636.26750000	0.03177612
1637.00000000	0.05926906	1637.85750000	0.00673858
1638.71500000	0.09240760	1639.22250000	0.02377472
1639.73000000	0.16160380	1640.03250000	0.05390138
1640.33500000	0.25511337	1640.75000000	0.06784076
1641.16500000	0.09365163	1641.67250000	0.01109943
1642.18000000	0.12595647	1642.64750000	0.00765828
1643.11500000	0.10542390	1643.57500000	0.01074610
1644.03500000	0.13377302	1644.42000000	0.01893224
1644.80500000	0.17557467	1645.61750000	0.02765002
1646.43000000	0.04673499	1647.16500000	0.05218897
1647.90000000	0.26672193	1648.11000000	0.02038810
1648.32000000	0.24216767	1648.64250000	0.06347412
1648.96500000	0.12477062	1649.39750000	0.00478478
1649.83000000	0.11290258	1650.13500000	0.09114957
1650.44000000	0.27233816	1650.93250000	0.06838890
1651.42500000	0.07917573	1652.03250000	0.01490069
1652.64000000	0.13108959	1652.95000000	0.06260597
1653.26000000	0.24239295	1653.89000000	0.05338816
1654.52000000	0.04950002	1655.16250000	0.04671712
1655.80500000	0.22163931	1656.08000000	0.04852410
1656.35500000	0.14511119	1656.67750000	0.00896964
1657.00000000	0.16170078	1657.42250000	0.02224267
1657.84500000	0.10780630	1658.77250000	0.01354628
1659.70000000	0.03575119	1660.90000000	0.00409216
1662.10000000	0.06391324	1663.49750000	0.00265866
1664.89500000	0.04260509	1666.13250000	0.00422956
1667.37000000	0.01258779	1668.10500000	0.02245859
1668.84000000	0.10725524	1669.30250000	0.06700076
1669.76500000	0.28496948	1670.13250000	0.06091505
1670.50000000	0.15658494	1670.98000000	0.00892916
1671.46000000	0.18116499	1672.74250000	0.01862910
1674.02500000	0.04414621	1675.36750000	0.00768968
1676.71000000	0.10335055	1677.20250000	0.01713025
1677.69500000	0.15173443	1678.26750000	0.01303906
1678.84000000	0.10892370	1679.47500000	0.00478513
1680.11000000	0.12634973	1680.66250000	0.01012375
1681.21500000	0.15842752	1682.48250000	0.01868426
1683.75000000	0.02261035	1685.07250000	0.00956981
1686.39500000	0.09519249	1686.94750000	0.00965153
1687.50000000	0.12577401	1688.26000000	0.01766196
1689.02000000	0.04879305	1689.94750000	0.00357155
1690.87500000	0.06779078	1691.45250000	0.03139082
1692.03000000	0.17175537	1692.47000000	0.03081143
1692.91000000	0.09400628	1693.57250000	0.00889494
1694.23500000	0.06021073	1694.86500000	0.01670449
1695.49500000	0.12056450	1696.23000000	0.01761715
1696.96500000	0.04630472	1697.84500000	0.00682191
1698.72500000	0.08073335	1699.22500000	0.06896483
1699.72500000	0.27848878	1700.55500000	0.04818027
1701.38500000	0.04914970	1702.43750000	0.01155891
1703.49000000	0.11891984	1704.05500000	0.00071038
1704.62000000	0.11661804	1706.36750000	0.01014131
1708.11500000	0.01498337	1710.38000000	0.00395935
1712.64500000	0.06641409	1713.53250000	0.01985835
1714.42000000	0.16748874	1714.76250000	0.00387663
1715.10500000	0.15987417	1715.45000000	0.00072993
1715.79500000	0.15842996	1716.33000000	0.03156865
1716.86500000	0.06157083	1717.35750000	0.00787191
1717.85000000	0.03933686	1718.11000000	0.16297184
1718.37000000	0.28234269	1718.75250000	0.04512465
1719.13500000	0.18335616	1719.51500000	0.05542586
1719.89500000	0.30414500	1720.71750000	0.05200465
1721.54000000	0.05883862	1722.30250000	0.12132937
1723.06500000	0.58940115	1723.32000000	0.22116415
1723.57500000	0.26596713	1723.99750000	0.06949724
1724.42000000	0.09757373	1725.03750000	0.02397438
1725.65500000	0.01267228	1726.16000000	0.00792552
1726.66500000	0.03562583	1727.04750000	0.06222764
1727.43000000	0.17212989	1727.94500000	0.03021892
1728.46000000	0.08287809	1728.81000000	0.15070654
1729.16000000	0.38538196	1729.52500000	0.12730398
1729.89000000	0.11890134	1730.33000000	0.05844441
1730.77000000	0.26637907	1731.92750000	0.03487621
1733.08500000	0.03486301	1734.43000000	0.00541700
1735.77500000	0.07664722	1736.38000000	0.01255808
1736.98500000	0.12021941	1737.44750000	0.03664311
1737.91000000	0.02302645	1738.54000000	0.01457118
1739.17000000	0.07567252	1739.85000000	0.01415838
1740.53000000	0.13088703	1741.13750000	0.00474977
1741.74500000	0.11433888	1742.23000000	0.02090505
1742.71500000	0.17248541	1743.04750000	0.01495296
1743.38000000	0.14397196	1744.34000000	0.01898697
1745.30000000	0.03943795	1746.19250000	0.04778052
1747.08500000	0.28400044	1747.42250000	0.13483190
1747.76000000	0.02302645	1748.07000000	0.19151972
1748.38000000	0.36351772	1748.73500000	0.11387361
1749.09000000	0.13168100	1749.59750000	0.00726544
