DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1630.35500000	0.09391507	1630.82500000	0.04076700
1631.29500000	0.15146123	1631.56250000	0.17885038
1631.83000000	0.29515015	1632.10000000	0.19181734
1632.37000000	0.13960328	1632.74500000	0.02921228
1633.12000000	0.10670249	1633.53000000	0.01898573
1633.94000000	0.08332377	1634.35250000	0.00181953
1634.76500000	0.08557797	1635.15000000	0.00054262
1635.53500000	0.08495054	1636.26750000	0.02390068
1637.00000000	0.03236971	1637.85750000	0.00970790
1638.71500000	0.05737138	1639.22250000	0.02432952
1639.73000000	0.09445475	1640.03250000	0.07785523
1640.33500000	0.16518787	1640.75000000	0.08334320
1641.16500000	0.06130883	1641.67250000	0.02230312
1642.18000000	0.09530355	1642.64750000	0.01678409
1643.11500000	0.07173738	1643.57500000	0.01913653
1644.03500000	0.09817551	1644.42000000	0.00486490
1644.80500000	0.09255022	1645.61750000	0.02586801
1646.43000000	0.02942601	1647.16500000	0.06185776
1647.90000000	0.16597583	1648.11000000	0.05602353
1648.32000000	0.20131036	1648.64250000	0.12047507
1648.96500000	0.08461958	1649.39750000	0.01011082
1649.83000000	0.09775313	1650.13500000	0.11823656
1650.44000000	0.20606131	1650.93250000	0.10910316
1651.42500000	0.04468002	1652.03250000	0.02489662
1652.64000000	0.09010516	1652.95000000	0.11997636
1653.26000000	0.20180871	1653.89000000	0.08751140
1654.52000000	0.03622606	1655.16250000	0.07337263
1655.80500000	0.17781094	1656.08000000	0.06176286
1656.35500000	0.12679925	1656.67750000	0.00437625
1657.00000000	0.12256046	1657.42250000	0.04043610
1657.84500000	0.07125003	1658.77250000	0.01451291
1659.70000000	0.03082243	1660.90000000	0.00028549
1662.10000000	0.03185136	1663.49750000	0.00305064
1664.89500000	0.01904714	1666.13250000	0.00453337
1667.37000000	0.03589623	1668.10500000	0.00357833
1668.84000000	0.04379531	1669.30250000	0.09620172
1669.76500000	0.17742540	1670.13250000	0.10734309
1670.50000000	0.05894648	1670.98000000	0.01100159
1671.46000000	0.07480660	1672.74250000	0.01579476
1674.02500000	0.01396788	1675.36750000	0.01325648
1676.71000000	0.06741841	1677.20250000	0.00828312
1677.69500000	0.07967048	1678.26750000	0.01999660
1678.84000000	0.04528768	1679.47500000	0.00755686
1680.11000000	0.05969969	1680.66250000	0.00175118
1681.21500000	0.05679384	1682.48250000	0.00935017
1683.75000000	0.02119981	1685.07250000	0.00830200
1686.39500000	0.05417507	1686.94750000	0.01549203
1687.50000000	0.07988200	1688.26000000	0.02000187
1689.02000000	0.03422641	1689.94750000	0.00478053
1690.87500000	0.04754320	1691.45250000	0.02766229
1692.03000000	0.09552204	1692.47000000	0.01173621
1692.91000000	0.08001281	1693.57250000	0.01552268
1694.23500000	0.04912678	1694.86500000	0.01855170
1695.49500000	0.08422893	1696.23000000	0.02047839
1696.96500000	0.03902327	1697.84500000	0.00399590
1698.72500000	0.04958431	1699.22500000	0.04988971
1699.72500000	0.12450308	1700.55500000	0.04012812
1701.38500000	0.02447164	1702.43750000	0.00616508
1703.49000000	0.04395978	1704.05500000	0.03062003
1704.62000000	0.09591913	1706.36750000	0.01570588
1708.11500000	0.01348841	1710.38000000	0.00088092
1712.64500000	0.01948102	1713.53250000	0.03724642
1714.42000000	0.11876121	1714.76250000	0.01846975
1715.10500000	0.09976218	1715.45000000	0.01979627
1715.79500000	0.12027437	1716.33000000	0.04010106
1716.86500000	0.05583975	1717.35750000	0.04164807
1717.85000000	0.11744401	1718.11000000	0.00392702
1718.37000000	0.11437749	1718.75250000	0.04469602
1719.13500000	0.06303110	1719.51500000	0.04400551
1719.89500000	0.11325383	1720.71750000	0.03658251
1721.54000000	0.02288493	1722.30250000	0.07526048
1723.06500000	0.19523698	1723.32000000	0.14522305
1723.57500000	0.08401635	1723.99750000	0.00068940
1724.42000000	0.08314154	1725.03750000	0.02557812
1725.65500000	0.03570477	1726.16000000	0.04380034
1726.66500000	0.10213694	1727.04750000	0.03505347
1727.43000000	0.06186783	1727.94500000	0.00811315
1728.46000000	0.07441675	1728.81000000	0.11953887
1729.16000000	0.20007379	1729.52500000	0.12734045
1729.89000000	0.06047910	1730.33000000	0.02687839
1730.77000000	0.09599850	1731.92750000	0.02290732
1733.08500000	0.01636335	1734.43000000	0.00927504
1735.77500000	0.05383023	1736.38000000	0.00860825
1736.98500000	0.06947178	1737.44750000	0.00464698
1737.91000000	0.06301684	1738.54000000	0.01144472
1739.17000000	0.04136198	1739.85000000	0.01289941
1740.53000000	0.06770638	1741.13750000	0.01288792
1741.74500000	0.04419172	1742.23000000	0.07759441
1742.71500000	0.15721862	1743.04750000	0.06533874
1743.38000000	0.09196990	1744.34000000	0.02363078
1745.30000000	0.02383668	1746.19250000	0.03722799
1747.08500000	0.12362677	1747.42250000	0.05965188
1747.76000000	0.06316128	1748.07000000	0.09504386
1748.38000000	0.15165153	1748.73500000	0.07713547
1749.09000000	0.06940982	1749.59750000	0.00469153
1750.10500000	0.06225893	1750.57750000	0.01385071
1751.05000000	0.08191440	1751.49250000	0.00775977
1751.93500000	0.07160171	1752.29000000	0.07263439
1752.64500000	0.14904437	1752.99000000	0.07027745
1753.33500000	0.07622537	1753.64750000	0.08690886
1753.96000000	0.15779411	1754.59500000	0.06640044
1755.23000000	0.03115895	1755.94000000	0.04174831
1756.65000000	0.12018291	1757.07000000	0.03864218
1757.49000000	0.07143898	1757.90500000	0.04081298
1758.32000000	0.12230831	1758.79750000	0.04350629
1759.27500000	0.05991543	1759.87250000	0.00365756
1760.47000000	0.06647898	1760.97000000	0.00896660
1761.47000000	0.07994401	1761.99500000	0.01398072
1762.52000000	0.05789960	1762.98750000	0.03782476
1763.45500000	0.11100851	1763.77500000	0.00591063
1764.09500000	0.11668911	1764.37750000	0.04818996
1764.66000000	0.15757605	1765.02750000	0.07645552
1765.39500000	0.07318899	1765.81750000	0.02331518
1766.24000000	0.10277424	1766.50000000	0.17146489
1766.76000000	0.23666734	1766.95250000	0.10384178
1767.14500000	0.17663123	1767.51500000	0.10357812
1767.88500000	0.06153015	1768.38000000	0.01116360
1768.87500000	0.07812675	1769.34500000	0.00149518
1769.81500000	0.08023732	1770.32750000	0.00958807
1770.84000000	0.06547908	1771.34500000	0.01282815
1771.85000000	0.08493559	1772.24500000	0.02700651
1772.64000000	0.11697432	1772.87250000	0.24281894
1773.10500000	0.28653110	1773.30250000	0.21835896
