DEPTH d	VALUE d	COUNT d
1376.34000000	40.49510544	0.00000000
1385.25500000	37.39180954	0.00000000
1385.70000000	34.81138492	0.00000000
1385.70000000	34.81138492	0.00000000
1385.70000000	34.81138492	0.00000000
1385.89000000	34.25222198	1.00000000
1385.98500000	34.63702240	0.90000000
1385.98500000	34.63702240	0.00000000
1386.08000000	32.38389653	1.00000000
1386.24500000	34.09226060	0.90000000
1386.24500000	34.09226060	0.00000000
1386.51000000	30.73957205	0.00000000
1386.61000000	29.50540823	1.00000000
1386.73500000	31.43067614	1.00000000
1386.86000000	31.10706369	0.00000000
1386.86000000	31.10706369	0.00000000
1386.86000000	31.10706369	0.00000000
1386.94000000	30.47200595	0.00000000
1387.02000000	29.47235592	1.00000000
1390.33000000	29.53727174	1.00000000
1396.97000000	29.26706250	0.00000000
1399.27000000	27.77169531	1.00000000
1403.81000000	29.12612226	0.00000000
1404.03000000	30.19366840	0.90000000
1404.03000000	30.19366840	0.90000000
1404.25000000	30.48434211	0.90000000
1404.25000000	30.48434211	0.00000000
1404.52000000	29.12344133	0.00000000
1404.79000000	28.72889325	1.00000000
1405.22000000	29.47111264	0.90000000
1405.22000000	29.47111264	0.00000000
1405.22000000	29.47111264	0.90000000
1405.52000000	31.82841780	1.00000000
1408.17000000	27.72504487	1.00000000
1410.41000000	27.84889697	0.90000000
1410.41000000	27.84889697	0.00000000
1410.41000000	27.84889697	0.00000000
1410.41000000	27.84889697	0.90000000
1412.65000000	28.92256957	1.00000000
1412.95000000	28.63716744	0.00000000
1414.70000000	24.27538739	0.00000000
1414.70000000	24.27538739	0.00000000
1414.70000000	24.27538739	0.00000000
1414.79000000	21.41403143	0.00000000
1414.79000000	21.41403143	0.90000000
1416.44500000	24.94258662	0.00000000
1421.83000000	26.73618467	0.00000000
1425.56000000	28.45084545	1.00000000
1428.00000000	28.08608078	0.00000000
1430.76500000	26.57625180	0.00000000
1430.76500000	26.57625180	0.00000000
1430.76500000	26.57625180	0.00000000
1430.76500000	26.57625180	0.90000000
1431.09000000	32.52882420	0.90000000
1431.09000000	32.52882420	0.00000000
1431.09000000	32.52882420	0.00000000
1431.09000000	32.52882420	0.00000000
1431.09000000	32.52882420	0.00000000
1431.09000000	32.52882420	0.00000000
1431.09000000	32.52882420	0.90000000
1431.38000000	39.43508181	0.00000000
1431.67000000	41.39109567	0.00000000
1438.80000000	42.02411822	0.90000000
1438.80000000	42.02411822	0.00000000
1438.80000000	42.02411822	0.00000000
1446.82000000	36.11430820	0.00000000
1450.78000000	27.88572921	0.00000000
1450.78000000	27.88572921	0.00000000
1450.78000000	27.88572921	0.00000000
1450.78000000	27.88572921	0.90000000
1450.95000000	30.11521341	1.00000000
1451.12000000	27.19104806	0.00000000
1451.12000000	27.19104806	0.00000000
1451.12000000	27.19104806	0.00000000
1451.12000000	27.19104806	0.00000000
1451.12000000	27.19104806	0.00000000
1451.12000000	27.19104806	0.90000000
1453.48000000	28.42915799	0.90000000
1453.48000000	28.42915799	0.00000000
1455.84000000	27.13012143	1.00000000
1463.60500000	27.47464673	1.00000000
1464.70000000	25.63619391	0.00000000
1464.79000000	24.45770099	0.00000000
1464.88000000	22.94819765	0.00000000
1464.88000000	22.94819765	0.00000000
1465.05000000	22.56850878	1.00000000
1465.29000000	24.06828099	0.90000000
1465.29000000	24.06828099	0.00000000
1465.29000000	24.06828099	0.00000000
1465.29000000	24.06828099	0.00000000
1465.53000000	22.68984168	1.00000000
1465.83000000	26.62453375	1.00000000
1465.83000000	26.62453375	0.00000000
1465.83000000	26.62453375	1.00000000
1465.83000000	27.09938407	0.90000000
1465.83000000	27.09938407	0.00000000
1465.83000000	27.09938407	0.00000000
1467.23500000	26.24721456	0.00000000
1467.23500000	26.24721456	0.90000000
1468.64000000	27.05710815	1.00000000
1477.80500000	26.00557068	0.00000000
1477.80500000	26.00557068	0.00000000
1477.80500000	26.00557068	0.90000000
1479.57000000	32.32542624	0.90000000
1479.57000000	32.32542624	0.90000000
1479.70000000	40.97506744	0.90000000
1479.70000000	40.97506744	0.00000000
1479.70000000	40.97506744	0.00000000
1479.83000000	34.36449010	1.00000000
1486.55000000	37.40628186	0.90000000
1486.55000000	37.40628186	0.00000000
1493.27000000	31.72132707	0.00000000
1493.27000000	31.72132707	0.00000000
1493.27000000	31.72132707	0.90000000
1494.66000000	36.49510305	0.90000000
1494.66000000	36.49510305	0.00000000
1494.66000000	36.49510305	0.00000000
1494.66000000	36.49510305	0.00000000
1494.66000000	36.49510305	0.90000000
1504.15000000	39.75493747	0.90000000
1504.15000000	39.75493747	0.00000000
1504.15000000	39.75493747	0.00000000
1504.16000000	36.41497955	0.00000000
1504.19500000	34.62919975	0.00000000
1504.23000000	31.77198630	0.00000000
1504.23000000	31.77198630	0.00000000
1504.23000000	31.77198630	0.00000000
1504.23000000	31.77198630	0.90000000
1505.56500000	33.46715369	1.00000000
1506.90000000	30.59328078	0.00000000
1507.40500000	28.15036031	0.00000000
1507.91000000	28.01726809	0.00000000
1507.91000000	28.01726809	0.00000000
1507.91000000	28.01726809	0.00000000
1507.91000000	28.01726809	0.00000000
1507.91000000	28.01726809	0.00000000
1507.91000000	28.01726809	0.00000000
1508.83500000	27.35082617	0.00000000
1508.83500000	27.35082617	0.00000000
1515.71500000	22.84362432	0.00000000
1515.71500000	22.84362432	0.00000000
1515.71500000	22.84362432	0.90000000
1516.06000000	23.26064803	1.00000000
1519.12000000	22.66069361	1.00000000
1522.18000000	25.05213252	0.90000000
1522.18000000	25.05213252	0.00000000
1522.18000000	25.05213252	0.00000000
1522.18000000	25.05213252	0.00000000
1522.18000000	25.05213252	0.00000000
1522.18000000	25.05213252	0.90000000
1523.19000000	28.42221755	0.00000000
1524.20000000	29.05187713	0.90000000
1524.20000000	29.05187713	0.00000000
1524.20000000	29.05187713	0.00000000
1524.20000000	29.05187713	0.00000000
1524.20000000	29.05187713	0.00000000
1541.05000000	19.50353021	0.00000000
1541.08000000	18.68976707	0.00000000
1541.08000000	18.68976707	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.00000000
1541.11000000	11.66966595	0.90000000
1548.69500000	12.36649903	0.00000000
1556.28000000	17.26637431	0.90000000
1556.28000000	17.26637431	0.00000000
1556.28000000	17.26637431	0.90000000
1556.98000000	19.01247547	0.00000000
1558.98000000	35.70026811	0.90000000
1558.98000000	35.70026811	0.00000000
1558.98000000	35.70026811	0.00000000
1562.32500000	28.66655954	0.00000000
1564.54000000	24.28282648	1.00000000
