NAME_ID s	iID i	N.X d	N.Y d	N.Z d	D.X d	D.Y d	D.Z d	S.X d	S.Y d	S.Z d	NC.X d	NC.Y d	NC.Z d	DC.X d	DC.Y d	DC.Z d	SC.X d	SC.Y d	SC.Z d	LPITCH  d	LPITCHSENSE s	PITCHANGLE  d	MISFIT d	LINEATION s	OFFSET s	DEPTH d	GC s	COLOR s	LOC s	LOCX d	LOCY d	FORMATION s	DATATYPE s	DIPDIR d	DIP d	LDIR d	LDIP d	corr.DIPDIR d	corr.DIP d	corrL.DIPDIR d	corrL.DIP d	PALEON d	COMMENT s	DATAGROUP s	PSCOLOR s	DASHED s	ptnP.X d	ptnP.Y d	ptnP.Z d	ptnT.X d	ptnT.Y d	ptnT.Z d	ptnN.X d	ptnN.Y d	ptnN.Z d	avD.X d	avD.Y d	avD.Z d	avS0D.X d	avS0D.Y d	avS0D.Z d	avS0N.X d	avS0N.Y d	avS0N.Z d	avS0d.DIPDIR d	avS0d.DIP d	avd.DIPDIR d	avd.DIP d	avS0offset s	TRAJECTORY.X d	TRAJECTORY.Y d	TRAJECTORY.Z d	fold_great_circle_N.X d	fold_great_circle_N.Y d	fold_great_circle_N.Z d	SHEAR_S.X d	SHEAR_S.Y d	SHEAR_S.Z d	NORMAL_S.X d	NORMAL_S.Y d	NORMAL_S.Z d	lambda d	ANG d	RUP d
ANG_015	14	-0.46789094	0.74878203	0.46947156	-0.24878203	0.39813447	-0.88294759	-0.84804810	-0.52991926	-0.00000000	-0.61677724	0.62503141	0.47845750	-0.33606434	0.34056180	-0.87811071	-0.71179112	-0.70239120	-0.00000000	84.00000000	W	84.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	328.00000000	62.00000000	NAN	NAN	328.00000000	62.00000000	315.38083325	61.41529303	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.38134376	0.32874617	-0.90439240	-0.05488043	0.08782705	0.05506583	0.86602540	2.28693657	3.46556394
ANG_016	15	-0.70758221	0.51408857	0.48480962	-0.39221922	0.28496394	-0.87461971	-0.58778525	-0.80901699	-0.00000000	-0.83839234	0.10399685	0.53505415	-0.53098469	0.06586503	-0.84481776	-0.12309974	-0.99239430	-0.00000000	75.00000000	S	75.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	306.00000000	61.00000000	NAN	NAN	306.00000000	61.00000000	277.07103146	57.65241598	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.44830588	0.21395020	-0.88117602	-0.11606753	0.08432799	0.07952525	0.86602540	9.87170130	5.44056403
ANG_017	16	0.70062927	-0.50903696	0.50000000	0.40450850	-0.29389263	-0.86602540	0.58778525	0.80901699	0.00000000	0.38796329	-0.74537898	0.54212051	0.25029474	-0.48088168	-0.84030075	0.88703834	0.46169576	-0.00000000	76.00000000	S	104.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	126.00000000	60.00000000	NAN	NAN	126.00000000	60.00000000	152.50341389	57.17189152	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.25776796	-0.36258278	-0.73033563	0.30636472	-0.22258700	0.21863540	0.86602540	4.45372740	0.53008257
ANG_018	17	0.69244212	-0.56072857	0.45399050	0.35281688	-0.28570548	-0.89100652	0.62932039	0.77714596	-0.00000000	0.57164231	-0.67903401	0.46058428	0.29662542	-0.35235102	-0.88761598	0.76500877	0.64401986	-0.00000000	85.00000000	S	95.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	129.00000000	63.00000000	NAN	NAN	129.00000000	63.00000000	139.90777264	62.57518346	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.19723115	-0.30469929	-0.67716121	0.36909192	-0.29888474	0.24199023	0.86602540	3.43303818	1.37845609
ANG_019	18	0.32528049	-0.89370079	0.30901699	0.10569004	-0.29038099	-0.95105652	0.93969262	0.34202014	-0.00000000	0.83115550	-0.16511560	0.53095892	0.52078203	-0.10345746	-0.84739756	0.19485022	0.98083301	-0.00000000	63.00000000	E	63.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	160.00000000	72.00000000	NAN	NAN	160.00000000	72.00000000	101.23597377	57.92973195	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.13229534	-0.07861460	-0.36661745	0.23267250	-0.63926243	0.22103925	0.86602540	12.81583818	27.31707147
ANG_020	19	0.50259761	-0.62065636	0.60181502	0.37873447	-0.46769811	-0.79863551	0.77714596	0.62932039	-0.00000000	0.52030106	-0.60573197	0.60197641	0.39223985	-0.45664373	-0.79851387	0.75857413	0.65158675	-0.00000000	89.00000000	E	89.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	141.00000000	53.00000000	NAN	NAN	141.00000000	53.00000000	139.33865686	52.98842120	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.31467939	-0.49422785	-0.77250111	0.13121188	-0.16203318	0.15711432	0.86602540	4.93145832	1.95553013
ANG_021	20	-0.71791667	0.13954886	0.68199836	-0.66946813	0.13013142	-0.73135370	-0.19080900	-0.98162718	0.00000000	-0.64018875	0.32490416	0.69612905	-0.62076004	0.31504384	-0.71791667	-0.45256528	-0.89173127	-0.00000000	79.00000000	N	101.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	281.00000000	47.00000000	NAN	NAN	281.00000000	47.00000000	296.90838925	45.88274399	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.71495600	0.03977110	-0.76074794	0.20302206	-0.03946349	-0.19286460	0.86602540	16.34827291	12.13606175
ANG_022	21	-0.36418692	0.60610881	0.70710678	-0.36418692	0.60610881	-0.70710678	-0.85716730	-0.51503808	0.00000000	-0.57457998	0.30581438	0.75916758	-0.67015777	0.35668469	-0.65089522	-0.46983658	-0.88275342	-0.00000000	67.00000000	W	67.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	329.00000000	45.00000000	NAN	NAN	329.00000000	45.00000000	298.02368882	40.60913198	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.53269920	0.55669869	-0.75154428	0.19137375	-0.31849940	-0.37157203	0.86602540	13.91832997	11.42767689
ANG_023	22	-0.39098036	-0.87815626	0.27563736	-0.11211181	-0.25180725	-0.96126170	0.91354546	-0.40673664	0.00000000	-0.87011171	-0.11859185	0.47837390	-0.47399165	-0.06460268	-0.87815626	0.13504641	-0.99083927	-0.00000000	66.00000000	W	114.00000000	NAN	PITCH	NORMAL	NAN	XXB		ANG002	0.00000000	0.00000000		STRIAE	204.00000000	74.00000000	NAN	NAN	204.00000000	74.00000000	262.23869661	61.42074726	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.07902804	-0.11591261	-0.25718929	-0.20936537	-0.47024232	0.14760055	0.86602540	48.03912060	57.33664320
ANG_024	23	-0.59619974	0.30377894	0.74314483	-0.66214689	0.33738069	-0.66913061	-0.45399050	-0.89100652	-0.00000000	-0.58881243	0.31764653	0.74323657	-0.65412281	0.35287951	-0.66902869	-0.47478761	-0.88010041	-0.00000000	89.00000000	N	91.00000000	NAN	PITCH	NORMAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	297.00000000	42.00000000	NAN	NAN	297.00000000	42.00000000	298.34552197	41.99214318	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.75963915	0.22498936	-0.70140257	0.30611914	-0.15597549	-0.38156819	0.86602540	8.84358095	6.77715725
