ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_0483	0.55000000	59.18599509	1.08445633	0.14042182	1.08445633
W_TST_0482	0.59000000	48.74925805	1.48643961	0.19247300	1.48643961
W_TST_0481	0.39000000	55.66670194	1.75129662	0.22676825	1.75129662
W_TST_0480	1.18000000	59.95230032	0.49022104	0.06347672	1.75129662
W_TST_0479	0.20000000	51.20881826	4.01883636	0.52038272	4.01883636
W_TST_0478	2.54000000	54.57898768	0.28000595	0.03625683	4.01883636
W_TST_0477	0.42000000	20.68912102	6.30462772	0.81636051	6.30462772
W_TST_0476	0.58000000	24.17328858	3.84116931	0.49737733	6.30462772
W_TST_0473	0.16000000	85.51983399	0.48970877	0.06341039	6.30462772
W_TST_0471	0.34000000	63.22025379	1.48439039	0.19220765	6.30462772
W_TST_0470	1.54000000	52.85909168	0.49182924	0.06368496	6.30462772
W_TST_0469	0.37000000	53.01302704	2.03566929	0.26359051	6.30462772
W_TST_0468	0.41000000	50.95063424	1.97856492	0.25619629	6.30462772
W_TST_0467	0.42000000	52.53525626	1.82464240	0.23626550	6.30462772
W_TST_0466	0.51000000	45.41432416	1.93262930	0.25024828	6.30462772
W_TST_0465	1.24000000	46.07067958	0.77686099	0.10059256	6.30462772
W_TST_0464	0.65000000	47.50169731	1.40965643	0.18253066	6.30462772
W_TST_0463	0.74000000	47.62029890	1.23307569	0.15966594	6.30462772
W_TST_0462	1.74000000	42.06485325	0.63683197	0.08246077	6.30462772
W_TST_0461	0.33000000	39.33778356	3.69732961	0.47875212	6.30462772
W_TST_0460	4.07000000	35.05414199	0.35019154	0.04534487	6.30462772
W_TST_0459	1.18000000	56.99733569	0.55040145	0.07126924	6.30462772
W_TST_0458	0.42000000	60.56217676	1.34366928	0.17398625	6.30462772
W_TST_0457	0.61000000	56.55149040	1.08294090	0.14022560	6.30462772
W_TST_0456	0.21000000	56.96268267	3.09682844	0.40099567	6.30462772
W_TST_0455	0.43000000	56.28179565	1.55203776	0.20096703	6.30462772
W_TST_0454	0.33000000	57.33118159	1.94309193	0.25160304	6.30462772
W_TST_0453	1.00000000	55.17328384	0.69570985	0.09008463	6.30462772
W_TST_0452	0.17000000	39.96737708	7.01842694	0.90878745	7.01842694
W_TST_0451	0.26000000	39.01857406	4.74645747	0.61459940	7.01842694
W_TST_0450	0.36000000	35.58299733	3.88239251	0.50271516	7.01842694
W_TST_0449	0.57000000	42.04652358	1.94526421	0.25188432	7.01842694
W_TST_0448	0.81000000	62.73397596	0.63628118	0.08238945	7.01842694
W_TST_0447	4.95000000	55.99024379	0.13631440	0.01765080	7.01842694
W_TST_0446	0.31000000	68.87529487	1.24633340	0.16138262	7.01842694
W_TST_0445	0.61000000	68.04295450	0.66090888	0.08557839	7.01842694
W_TST_0444	3.12000000	68.74718287	0.12465876	0.01614155	7.01842694
W_TST_0443	0.99000000	58.09197267	0.62892887	0.08143743	7.01842694
W_TST_0442	1.95000000	58.61055990	0.31289726	0.04051579	7.01842694
W_TST_0441	0.38000000	46.70985231	2.47902033	0.32099822	7.01842694
W_TST_0440	0.15000000	49.89369787	5.61510798	0.72707741	7.01842694
W_TST_0439	0.36000000	49.46061277	2.37575076	0.30762627	7.01842694
W_TST_0437	0.74000000	35.92559860	1.86506380	0.24149950	7.01842694
W_TST_0436	0.50000000	62.92584796	1.02231344	0.13237519	7.01842694
W_TST_0435	1.36000000	66.02651028	0.32696646	0.04233755	7.01842694
W_TST_0434	0.66000000	58.12229740	0.94228087	0.12201210	7.01842694
W_TST_0433	2.77000000	66.80657970	0.15468037	0.02002893	7.01842694
W_TST_0432	0.93000000	40.75426578	1.24772303	0.16156256	7.01842694
W_TST_0431	1.52000000	41.46319947	0.74457783	0.09641234	7.01842694
W_TST_0430	2.77000000	37.56139797	0.46943603	0.06078536	7.01842694
W_TST_0429	1.33000000	54.28051528	0.54066819	0.07000892	7.01842694
W_TST_0428	1.15000000	56.79984792	0.56903083	0.07368148	7.01842694
W_TST_0427	0.88000000	59.68913859	0.66432630	0.08602090	7.01842694
W_TST_0426	0.29000000	75.61683304	0.88428698	0.11450271	7.01842694
W_TST_0425	0.60000000	57.31130592	1.06951662	0.13848734	7.01842694
W_TST_0424	0.40000000	60.02876071	1.44170293	0.18668023	7.01842694
W_TST_0423	1.93000000	56.32698821	0.34520040	0.04469859	7.01842694
W_TST_0422	2.24000000	62.39043342	0.23348214	0.03023265	7.01842694
W_TST_0421	0.11000000	55.55921400	6.23418536	0.80723921	7.01842694
W_TST_0420	2.50000000	55.62588511	0.27362036	0.03542998	7.01842694
W_TST_0419	0.66000000	44.03683159	1.56696825	0.20290032	7.01842694
W_TST_0418	0.88000000	49.45109241	0.97222503	0.12588945	7.01842694
W_TST_0417	0.33000000	58.85656668	1.83113015	0.23710557	7.01842694
W_TST_0416	1.91000000	59.11982458	0.31309833	0.04054182	7.01842694
W_TST_0415	1.27000000	63.53221732	0.39203128	0.05076253	7.01842694
W_TST_0414	1.10000000	68.15383940	0.36446028	0.04719247	7.01842694
W_TST_0413	2.22000000	64.59271983	0.21395974	0.02770477	7.01842694
W_TST_0412	0.64000000	55.69074253	1.06623521	0.13806244	7.01842694
