ID s	D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d	MSFT d
W_TST_0331	237.58464123	65.28278302	237.58464123	62.91225733	-0.35298725	-0.22414528	-0.90838257	-0.38440306	-0.24409417	-0.89031024	2.37052568	5.61939201
W_TST_0332	237.58464123	65.28278302	237.58464123	64.58712514	-0.35298725	-0.22414528	-0.90838257	-0.36227164	-0.23004082	-0.90323888	0.69565787	0.48393987
W_TST_0333	237.58464123	65.28278302	237.58464123	69.82620662	-0.35298725	-0.22414528	-0.90838257	-0.29113290	-0.18486805	-0.93865086	4.54342360	20.64269803
W_TST_0334	237.58464123	65.28278302	237.58464123	60.82717899	-0.35298725	-0.22414528	-0.90838257	-0.41149384	-0.26129669	-0.87315340	4.45560403	19.85240724
W_TST_0335	237.58464123	65.28278302	237.58464123	55.58731964	-0.35298725	-0.22414528	-0.90838257	-0.47709040	-0.30295020	-0.82498844	9.69546338	94.00201012
W_TST_0336	237.58464123	65.28278302	237.58464123	55.65108532	-0.35298725	-0.22414528	-0.90838257	-0.47631502	-0.30245784	-0.82561690	9.63169770	92.76960052
W_TST_0337	237.58464123	65.28278302	237.58464123	62.62608587	-0.35298725	-0.22414528	-0.90838257	-0.38815215	-0.24647482	-0.88802481	2.65669715	7.05803972
W_TST_0338	237.58464123	65.28278302	237.58464123	62.90071910	-0.35298725	-0.22414528	-0.90838257	-0.38455441	-0.24419027	-0.89021852	2.38206391	5.67422849
W_TST_0339	237.58464123	65.28278302	237.58464123	59.12766174	-0.35298725	-0.22414528	-0.90838257	-0.43317368	-0.27506328	-0.85831274	6.15512127	37.88551790
W_TST_0340	237.58464123	65.28278302	237.58464123	59.43402457	-0.35298725	-0.22414528	-0.90838257	-0.42929318	-0.27259918	-0.86104416	5.84875845	34.20797541
W_TST_0341	237.58464123	65.28278302	237.58464123	62.97255227	-0.35298725	-0.22414528	-0.90838257	-0.38361192	-0.24359180	-0.89078894	2.31023075	5.33716611
W_TST_0342	237.58464123	65.28278302	237.58464123	69.61066453	-0.35298725	-0.22414528	-0.90838257	-0.29411176	-0.18675961	-0.93734685	4.32788152	18.73055843
W_TST_0343	237.58464123	65.28278302	237.58464123	61.76806825	-0.35298725	-0.22414528	-0.90838257	-0.39933449	-0.25357556	-0.88103996	3.51471477	12.35321989
W_TST_0344	237.58464123	65.28278302	237.58464123	64.96571416	-0.35298725	-0.22414528	-0.90838257	-0.35722545	-0.22683651	-0.90605473	0.31706886	0.10053266
W_TST_0345	237.58464123	65.28278302	237.58464123	57.94123888	-0.35298725	-0.22414528	-0.90838257	-0.44808349	-0.28453094	-0.84750418	7.34154414	53.89827030
W_TST_0346	237.58464123	65.28278302	237.58464123	71.86696606	-0.35298725	-0.22414528	-0.90838257	-0.26273074	-0.16683281	-0.95033645	6.58418304	43.35146633
W_TST_0347	237.58464123	65.28278302	237.58464123	73.07407584	-0.35298725	-0.22414528	-0.90838257	-0.24577166	-0.15606387	-0.95668195	7.79129283	60.70424390
W_TST_0348	237.58464123	65.28278302	237.58464123	72.61825888	-0.35298725	-0.22414528	-0.90838257	-0.25218881	-0.16013873	-0.95433558	7.33547587	53.80920621
W_TST_0349	237.58464123	65.28278302	237.58464123	73.55727409	-0.35298725	-0.22414528	-0.90838257	-0.23895205	-0.15173345	-0.95910316	8.27449108	68.46720260
W_TST_0350	237.58464123	65.28278302	237.58464123	74.91958769	-0.35298725	-0.22414528	-0.90838257	-0.21963516	-0.13946731	-0.96556163	9.63680467	92.86800434
W_TST_0351	237.58464123	65.28278302	237.58464123	68.47995489	-0.35298725	-0.22414528	-0.90838257	-0.30966934	-0.19663860	-0.93028929	3.19717188	10.22190800
W_TST_0352	237.58464123	65.28278302	237.58464123	72.21325718	-0.35298725	-0.22414528	-0.90838257	-0.25787718	-0.16375082	-0.95220010	6.93047417	48.03147221
