DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1364.11500000	0.14042182	1364.40000000	0.02529766
1364.68500000	0.19247300	1364.93000000	0.01938932
1365.17500000	0.22676825	1365.56750000	0.05762602
1365.96000000	0.06347672	1366.30500000	0.18344353
1366.65000000	0.52038272	1367.33500000	0.09789542
1368.02000000	0.03625683	1368.76000000	0.14602098
1369.50000000	0.81636051	1369.75000000	0.17673494
1370.00000000	0.49737733	1370.18500000	0.32492234
1370.37000000	0.06341039	1370.49500000	0.14272211
1370.62000000	0.19220765	1371.09000000	0.03787709
1371.56000000	0.06368496	1372.03750000	0.05798907
1372.51500000	0.26359051	1372.71000000	0.00525233
1372.90500000	0.25619629	1373.11250000	0.01330458
1373.32000000	0.23626550	1373.55250000	0.00833039
1373.78500000	0.25024828	1374.22250000	0.04738162
1374.66000000	0.10059256	1375.13250000	0.02402032
1375.60500000	0.18253066	1375.95250000	0.00911393
1376.30000000	0.15966594	1376.92000000	0.01724842
1377.54000000	0.08246077	1378.05750000	0.10607154
1378.57500000	0.47875212	1379.67500000	0.05457555
1380.77500000	0.04534487	1382.08750000	0.00273592
1383.40000000	0.07126924	1383.80000000	0.03556944
1384.20000000	0.17398625	1384.45750000	0.01816052
1384.71500000	0.14022560	1384.92000000	0.17619701
1385.12500000	0.40099567	1385.28500000	0.17316768
1385.44500000	0.20096703	1385.63500000	0.03691480
1385.82500000	0.25160304	1386.15750000	0.06728605
1386.49000000	0.09008463	1386.78250000	0.38769935
1387.07500000	0.90878745	1387.18250000	0.37906284
1387.29000000	0.61459940	1387.44500000	0.09998432
1387.60000000	0.50271516	1387.83250000	0.14943510
1388.06500000	0.25188432	1388.41000000	0.06805062
1388.75500000	0.08238945	1390.19500000	0.00622724
1391.63500000	0.01765080	1392.95000000	0.01513986
1394.26500000	0.16138262	1394.49500000	0.04565205
1394.72500000	0.08557839	1395.65750000	0.01031420
1396.59000000	0.01614155	1397.61750000	0.00880235
1398.64500000	0.08143743	1399.38000000	0.00771188
1400.11500000	0.04051579	1400.69750000	0.06669671
1401.28000000	0.32099822	1401.41250000	0.42451154
1401.54500000	0.72707741	1401.67250000	0.45568617
1401.80000000	0.30762627	1402.07500000	0.03330729
1402.35000000	0.24149950	1402.66000000	0.04875896
1402.97000000	0.13237519	1403.43500000	0.02682043
1403.90000000	0.04233755	1404.40500000	0.02185360
1404.91000000	0.12201210	1405.76750000	0.01647362
1406.62500000	0.02002893	1407.55000000	0.02119398
1408.47500000	0.16156256	1409.08750000	0.01473345
1409.70000000	0.09641234	1410.77250000	0.00460126
1411.84500000	0.06078536	1412.87000000	0.00124643
1413.89500000	0.07000892	1414.51500000	0.00082049
1415.13500000	0.07368148	1415.64250000	0.00336786
1416.15000000	0.08602090	1416.44250000	0.01348765
1416.73500000	0.11450271	1416.95750000	0.01493130
1417.18000000	0.13848734	1417.43000000	0.02670162
1417.68000000	0.18668023	1418.26250000	0.03376221
1418.84500000	0.04469859	1419.88750000	0.00192205
1420.93000000	0.03023265	1421.51750000	0.18319409
1422.10500000	0.80723921	1422.75750000	0.16384157
1423.41000000	0.03542998	1424.20000000	0.02936334
1424.99000000	0.20290032	1425.37500000	0.02770677
1425.76000000	0.12588945	1426.06250000	0.05092570
1426.36500000	0.23710557	1426.92500000	0.04861945
1427.48500000	0.04054182	1428.28000000	0.00178077
1429.07500000	0.05076253	1429.66750000	0.00083461
1430.26000000	0.04719247	1431.09000000	0.00325220
1431.92000000	0.02770477	1432.63500000	0.02137918
1433.35000000	0.13806244	1433.57250000	0.13104026
1433.79500000	0.34855663	1434.07000000	0.12537984
1434.34500000	0.09963321	1434.71500000	0.01070117
1435.08500000	0.12821822	1435.37000000	0.12629554
1435.65500000	0.38807749	1435.87500000	0.02454125
1436.09500000	0.34909904	1436.30250000	0.04327360
1436.51000000	0.28427344	1436.82000000	0.06597875
1437.13000000	0.13661064	1437.45750000	0.02063483
1437.78500000	0.18539915	1438.09250000	0.01850277
1438.40000000	0.14432324	1438.64500000	0.11477542
1438.89000000	0.34733459	1439.01250000	0.07277971
1439.13500000	0.41169989	1439.45750000	0.14257735
1439.78000000	0.07973999	1440.22000000	0.01745709
1440.66000000	0.13519360	1440.94250000	0.06574037
1441.22500000	0.26927111	1441.62250000	0.05887935
1442.02000000	0.10030270	1442.44500000	0.09497994
1442.87000000	0.39172729	1443.14500000	0.01391495
1443.42000000	0.36410118	1443.67500000	0.01971226
1443.93000000	0.40039076	1444.31000000	0.10374045
1444.69000000	0.11578935	1445.04750000	0.15253453
1445.40500000	0.50947498	1445.64250000	0.05181416
1445.88000000	0.42063316	1446.10250000	0.17207837
1446.32500000	0.14421814	1446.45750000	0.11500393
1446.59000000	0.25422858	1446.73250000	0.11452072
1446.87500000	0.13641257	1447.06500000	0.00979047
1447.25500000	0.14984215	1447.84500000	0.02873875
1448.43500000	0.02742978	1449.64250000	0.00138576
1450.85000000	0.01534936	1452.36750000	0.00031858
1453.88500000	0.01883954	1454.75250000	0.03377417
1455.62000000	0.23036351	1455.91750000	0.07389127
1456.21500000	0.07166040	1456.56500000	0.03824781
1456.91500000	0.16830552	1457.84500000	0.02092894
1458.77500000	0.02778635	1459.63500000	0.04770898
1460.49500000	0.32399924	1460.72250000	0.14341922
1460.95000000	0.08844327	1461.22000000	0.06393496
1461.49000000	0.21306894	1461.61750000	0.19986546
1461.74500000	0.39704160	1461.86250000	0.21780612
1461.98000000	0.21227932	1462.35750000	0.06105261
1462.73500000	0.04588959	1463.12250000	0.09569710
1463.51000000	0.31360652	1463.78500000	0.08648418
1464.06000000	0.14190477	1465.75750000	0.01033950
1467.45500000	0.01519362	1469.24250000	0.00322548
1471.03000000	0.05681782	1472.02750000	0.00373196
1473.02500000	0.02994237	1474.00250000	0.00608889
1474.98000000	0.07291187	1475.38500000	0.03046402
1475.79000000	0.16198518	1476.09500000	0.00257020
1476.40000000	0.15632576	1476.64750000	0.03722400
1476.89500000	0.22283830	1477.19000000	0.05661448
1477.48500000	0.10226396	1477.80750000	0.03376292
