DEPTH d	FREQ d	DERIV_DEPTH d	DERIV d
1364.41000000	0.18176509	1364.79250000	0.12927246
1365.17500000	0.05075170	1366.62750000	0.01223841
1368.08000000	0.00365187	1369.82000000	0.03031311
1371.56000000	0.14340388	1372.03750000	0.31894910
1372.51500000	0.54693124	1372.71000000	0.96513383
1372.90500000	0.04827600	1373.11250000	0.72253813
1373.32000000	0.44551979	1373.55250000	0.22068913
1373.78500000	0.30956887	1374.22250000	0.13315071
1374.66000000	0.15522130	1375.13250000	0.12089607
1375.60500000	0.30657472	1375.95250000	0.03193316
1376.30000000	0.27717286	1378.02000000	0.06011230
1379.74000000	0.00322364	1382.32000000	0.00659582
1384.90000000	0.04831227	1385.98750000	0.33028357
1387.07500000	1.00000000	1387.18250000	0.89915658
1387.29000000	0.74389266	1387.79000000	0.55292934
1388.29000000	0.01137538	1390.97250000	0.00129070
1393.65500000	0.00220169	1396.15000000	0.03330251
1398.64500000	0.22235527	1400.25250000	0.04430898
1401.86000000	0.03363396	1405.38250000	0.00335853
1408.90500000	0.00228823	1411.40000000	0.00190506
1413.89500000	0.01488208	1414.51500000	0.00141797
1415.13500000	0.01721145	1415.71500000	0.00019145
1416.29500000	0.01691723	1416.73750000	0.01370760
1417.18000000	0.03298860	1417.43000000	0.59709976
1417.68000000	0.42850559	1418.82250000	0.13998597
1419.96500000	0.00474656	1421.03500000	0.06179459
1422.10500000	0.17993784	1423.14250000	0.06367476
1424.18000000	0.00489930	1425.27250000	0.01902804
1426.36500000	0.05997928	1428.07250000	0.01258445
1429.78000000	0.00304510	1431.56500000	0.00589526
1433.35000000	0.03092682	1433.57250000	0.08183735
1433.79500000	0.07917265	1434.07000000	0.07670021
1434.34500000	0.02328607	1435.62250000	0.00466149
1436.90000000	0.03906452	1438.01750000	0.01863905
1439.13500000	0.09425315	1439.45750000	0.08885532
1439.78000000	0.01832700	1443.90750000	0.00155852
1448.03500000	0.00128277	1452.12500000	0.01383461
1456.21500000	0.15120589	1457.37750000	0.04736307
1458.54000000	0.00532074	1459.51750000	0.32846505
1460.49500000	0.85603588	1460.72250000	1.00000000
1460.95000000	0.25325477	1461.25750000	0.26320362
1461.56500000	0.03881012	1462.34500000	0.02123574
1463.12500000	0.08269755	1465.56500000	0.01236340
1468.00500000	0.00276827	1470.51500000	0.00061358
1473.02500000	0.00684884	1474.00250000	0.06129796
1474.98000000	0.16560882	1475.38500000	0.12358805
1475.79000000	0.03298860	1476.09500000	0.00131681
1476.40000000	0.03192445	1476.64750000	0.03289337
1476.89500000	0.05349503	1477.19000000	0.03717756
1477.48500000	0.02443600	1477.80750000	0.01966052
1478.13000000	0.04123575	1478.38000000	0.00478864
1478.63000000	0.03806377	1479.03250000	0.01866449
1479.43500000	0.01815886	1479.78750000	0.04678343
1480.14000000	0.06185363	1480.38250000	0.04887377
1480.62500000	0.03045102	1480.96500000	0.00285652
