D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
221.12037942	47.07711477	221.12037942	82.57939114	-0.44786386	-0.51302751	-0.73227095	-0.08493613	-0.09729423	-0.99162477	35.50227637
221.12037942	47.07711477	221.12037942	40.39343357	-0.44786386	-0.51302751	-0.73227095	-0.50086936	-0.57374524	-0.64803262	6.68368120
221.12037942	47.07711477	221.12037942	78.48004559	-0.44786386	-0.51302751	-0.73227095	-0.13133741	-0.15044684	-0.97985521	31.40293082
221.12037942	47.07711477	221.12037942	46.76894169	-0.44786386	-0.51302751	-0.73227095	-0.45044758	-0.51598715	-0.72859745	0.30817309
221.12037942	47.07711477	221.12037942	81.08093424	-0.44786386	-0.51302751	-0.73227095	-0.10196044	-0.11679556	-0.98790833	34.00381947
221.12037942	47.07711477	221.12037942	78.45445870	-0.44786386	-0.51302751	-0.73227095	-0.13162516	-0.15077646	-0.97976593	31.37734393
221.12037942	47.07711477	221.12037942	81.91332073	-0.44786386	-0.51302751	-0.73227095	-0.09251137	-0.10597166	-0.99005639	34.83620595
221.12037942	47.07711477	221.12037942	44.47107311	-0.44786386	-0.51302751	-0.73227095	-0.46929699	-0.53757913	-0.70054908	2.60604166
221.12037942	47.07711477	221.12037942	56.10594992	-0.44786386	-0.51302751	-0.73227095	-0.36674061	-0.42010092	-0.83007020	9.02883514
221.12037942	47.07711477	221.12037942	83.41013907	-0.44786386	-0.51302751	-0.73227095	-0.07547203	-0.08645312	-0.99339309	36.33302429
221.12037942	47.07711477	221.12037942	50.93643348	-0.44786386	-0.51302751	-0.73227095	-0.41443507	-0.47473486	-0.77644729	3.85931871
221.12037942	47.07711477	221.12037942	81.04421934	-0.44786386	-0.51302751	-0.73227095	-0.10237673	-0.11727242	-0.98780878	33.96710457
221.12037942	47.07711477	221.12037942	67.60620291	-0.44786386	-0.51302751	-0.73227095	-0.25054253	-0.28699616	-0.92458728	20.52908814
