DEPTH d	VALUE d
1374.06000000	33.52594260
1378.41000000	33.14162579
1378.41000000	33.14162579
1378.57500000	29.55265764
1378.74000000	25.47723497
1378.74000000	25.47723497
1378.74000000	25.47723497
1378.74000000	25.47723497
1378.74000000	25.47723497
1378.74000000	25.47723497
1378.74000000	25.47723497
1378.74000000	25.47723497
1401.47000000	45.53000000
1401.88000000	59.59421153
1401.88000000	59.59421153
1401.88000000	59.59421153
1401.88000000	59.59421153
1401.88000000	59.59421153
1401.88000000	59.59421153
1401.93000000	54.86640855
1401.98000000	49.36029353
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1404.99500000	43.23093871
1408.01000000	42.91815148
1409.70000000	26.48148394
1409.70000000	26.48148394
1409.70000000	26.48148394
1417.56000000	30.85600306
1417.56000000	30.85600306
1417.56000000	30.85600306
1424.66000000	29.42759054
1424.99000000	30.43604233
1425.32000000	41.00484247
1425.32000000	41.00484247
1425.32000000	41.00484247
1425.32000000	41.00484247
1425.32000000	41.00484247
1430.36000000	43.17546125
1435.65500000	44.78124248
1435.65500000	44.78124248
1435.65500000	44.78124248
1435.65500000	44.78124248
1435.65500000	44.78124248
1435.91000000	44.88494707
1435.91000000	44.88494707
1436.28000000	48.49351417
1438.64000000	51.04198314
1442.59000000	52.46783724
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1442.87000000	53.39391660
1443.15000000	54.49950009
1443.69000000	56.11191502
1443.69000000	56.11191502
1443.69000000	56.11191502
1443.69000000	56.11191502
1443.69000000	56.11191502
1444.45000000	57.28661648
1444.45000000	57.28661648
1445.40500000	58.24502572
1445.60000000	53.99478136
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1493.33000000	31.29986362
1503.01000000	41.35159801
1503.01000000	41.35159801
1503.01000000	41.35159801
1503.01000000	41.35159801
1503.01000000	41.35159801
1503.36000000	38.31914699
1503.36000000	38.31914699
1503.36000000	38.31914699
1503.36000000	38.31914699
1503.36000000	38.31914699
1505.81500000	40.13455228
1505.81500000	40.13455228
1508.27000000	42.95665251
1511.86500000	44.29727106
1515.46000000	42.93702699
1515.56000000	42.04748730
1517.21000000	41.03133402
1517.41000000	40.46410207
1517.41000000	40.46410207
1517.41000000	40.46410207
1517.79000000	39.98611398
1517.79000000	39.98611398
1518.17500000	41.03222914
1518.17500000	41.03222914
1518.56000000	41.56574479
1519.38000000	43.13153016
1519.93500000	43.17253818
1520.49000000	43.31621366
1522.02000000	43.16959684
1524.05500000	43.28187589
1524.05500000	43.28187589
1524.05500000	43.28187589
1524.56000000	42.75227203
1525.97000000	42.27586891
1527.38000000	42.73463008
1528.48000000	43.31549734
1529.07000000	44.70752609
1529.70000000	46.01706324
1529.70000000	46.01706324
1529.70000000	46.01706324
1529.70000000	46.01706324
1530.33000000	46.21759177
1530.64500000	45.37804146
1530.64500000	45.37804146
1530.96000000	44.69654699
1531.60000000	41.55314371
1531.74000000	41.13692055
1531.88000000	40.16776775
1540.20000000	39.93579580
1548.52000000	29.84985263
1553.03500000	38.53925604
1553.03500000	38.53925604
1553.16000000	39.75852917
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.00000000	38.89371691
1555.54000000	38.26048846
1556.08000000	39.50708015
1556.08000000	39.50708015
1556.08000000	39.50708015
1556.08000000	39.50708015
1556.54000000	40.75924865
1567.20000000	40.19139291
1567.20000000	40.19139291
1569.58500000	39.60089620
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.14500000	41.29185772
1572.32000000	44.47802189
1572.32000000	44.47802189
1580.82000000	46.58753234
1589.66500000	38.55305099
1589.66500000	38.55305099
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1590.20000000	34.20586620
1599.91000000	35.14299855
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1610.48000000	49.45214034
1637.66000000	26.06963286
1637.66000000	26.06963286
