ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_1084	0.16000000	87.62594480	0.25911756	0.02481834	0.25911756
W_TST_1083	0.53000000	54.97473984	1.32238636	0.12665848	1.32238636
W_TST_1082	0.19000000	69.45810625	1.97220160	0.18889794	1.97220160
W_TST_1081	0.27000000	63.76981547	1.82487240	0.17478671	1.97220160
W_TST_1080	2.84000000	81.81437568	0.05065003	0.00485127	1.97220160
W_TST_1079	0.44000000	30.17525507	3.90881849	0.37438756	3.90881849
W_TST_1078	0.93000000	66.39290014	0.46993208	0.04501021	3.90881849
W_TST_1077	0.59000000	35.53423294	2.37318302	0.22730403	3.90881849
W_TST_1076	0.11000000	74.44357651	2.53077589	0.24239831	3.90881849
W_TST_1075	0.34000000	54.28728708	2.11443941	0.20252151	3.90881849
W_TST_1074	0.41000000	60.49047613	1.38046885	0.13222163	3.90881849
W_TST_1073	0.19000000	56.77839247	3.44694952	0.33014964	3.90881849
W_TST_1072	0.20000000	59.10668069	2.99164650	0.28654061	3.90881849
W_TST_1071	0.50000000	80.06691688	0.35024599	0.03354664	3.90881849
W_TST_1070	0.61000000	80.59239018	0.27161539	0.02601539	3.90881849
W_TST_1069	0.24000000	51.70702037	3.28980617	0.31509841	3.90881849
W_TST_1068	0.16000000	76.41741689	1.51002319	0.14463038	3.90881849
W_TST_1067	0.11000000	56.56476251	6.00237520	0.57490892	6.00237520
W_TST_1066	0.38000000	62.41849279	1.37467490	0.13166669	6.00237520
W_TST_1065	0.49000000	76.35162022	0.49554990	0.04746389	6.00237520
W_TST_1064	0.68000000	68.15587840	0.58950735	0.05646315	6.00237520
W_TST_1063	0.12000000	79.68898657	1.51607813	0.14521032	6.00237520
W_TST_1062	0.45000000	80.89722528	0.35605271	0.03410281	6.00237520
W_TST_1061	0.13000000	55.33696428	5.31906755	0.50946155	6.00237520
W_TST_1060	0.66000000	79.22766996	0.28827234	0.02761079	6.00237520
W_TST_1059	5.01000000	53.56595682	0.14734154	0.01411241	6.00237520
W_TST_1058	0.44000000	83.78720180	0.24741086	0.02369707	6.00237520
W_TST_1057	0.25000000	47.51323265	3.66362555	0.35090292	6.00237520
W_TST_1056	1.02000000	26.53934210	1.96298584	0.18801525	6.00237520
W_TST_1055	0.70000000	53.64991358	1.05131395	0.10069510	6.00237520
W_TST_1054	0.51000000	86.54352898	0.11843155	0.01134340	6.00237520
W_TST_1053	0.12000000	89.73859658	0.03801985	0.00364155	6.00237520
W_TST_1052	0.26000000	79.36748454	0.72204751	0.06915788	6.00237520
W_TST_1051	0.19000000	86.91103564	0.28402575	0.02720405	6.00237520
W_TST_1050	0.40000000	88.33472839	0.07268165	0.00696147	6.00237520
W_TST_1047	0.13000000	72.28252903	2.45751327	0.23538120	6.00237520
W_TST_1046	0.25000000	48.62156124	3.52380003	0.33751040	6.00237520
W_TST_1045	0.21000000	54.68233972	3.37382057	0.32314533	6.00237520
W_TST_1043	1.65000000	54.06777913	0.43923434	0.04206997	6.00237520
W_TST_1042	1.61000000	32.31516428	0.98193605	0.09405007	6.00237520
W_TST_1041	1.18000000	87.64872975	0.03479700	0.00333286	6.00237520
W_TST_1040	0.69000000	47.56863343	1.32482593	0.12689214	6.00237520
W_TST_1039	0.26000000	60.86614965	2.14371901	0.20532591	6.00237520
W_TST_1038	0.32000000	55.11527392	2.17879195	0.20868521	6.00237520
W_TST_1037	2.92000000	58.12172006	0.21298608	0.02039986	6.00237520
W_TST_1034	0.23000000	81.10358727	0.68057251	0.06518540	6.00237520
W_TST_1033	0.18000000	28.01799778	10.44056723	1.00000000	10.44056723
W_TST_1032	0.13000000	63.18089706	3.88888386	0.37247822	10.44056723
W_TST_1031	0.26000000	30.59478522	6.50484213	0.62303532	10.44056723
W_TST_1030	0.47000000	22.68684355	5.08961635	0.48748466	10.44056723
W_TST_1027	1.37000000	86.99330752	0.03833935	0.00367215	10.44056723
W_TST_1025	0.93000000	64.95841148	0.50235661	0.04811583	10.44056723
W_TST_1024	1.08000000	80.01289720	0.16305083	0.01561705	10.44056723
W_TST_1023	1.88000000	66.75883508	0.22843152	0.02187922	10.44056723
W_TST_1022	0.94000000	39.31380953	1.29910706	0.12442878	10.44056723
W_TST_1021	0.20000000	42.89564901	5.38146029	0.51543754	10.44056723
W_TST_1020	0.15000000	79.75078022	1.20543597	0.11545694	10.44056723
W_TST_1019	0.18000000	74.69013699	1.52085598	0.14566795	10.44056723
W_TST_1018	0.11000000	84.84875980	0.81953753	0.07849550	10.44056723
W_TST_1016	0.17000000	65.87206858	2.63474580	0.25235658	10.44056723
W_TST_1014	0.28000000	89.37602028	0.03889618	0.00372549	10.44056723
W_TST_1012	0.53000000	50.79853916	1.53891048	0.14739721	10.44056723
W_TST_1011	0.53000000	85.36542285	0.15295379	0.01464995	10.44056723
W_TST_1008	0.20000000	72.10319260	1.61464833	0.15465140	10.44056723
W_TST_1007	0.56000000	88.10170563	0.05918503	0.00566876	10.44056723
W_TST_1006	2.12000000	15.81021806	1.66581182	0.15955185	10.44056723
W_TST_1004	1.57000000	85.97562514	0.04481167	0.00429207	10.44056723
W_TST_1003	2.23000000	72.27387946	0.14333772	0.01372892	10.44056723
W_TST_1002	0.75000000	27.74570956	2.53471043	0.24277516	10.44056723
W_TST_1000	0.20000000	76.14081476	1.23359567	0.11815409	10.44056723
W_TST_0999	0.43000000	56.31184766	1.55027531	0.14848574	10.44056723
W_TST_0998	0.38000000	63.01645661	1.33990451	0.12833637	10.44056723
W_TST_0995	0.24000000	75.08927658	1.10949936	0.10626811	10.44056723
W_TST_0994	0.27000000	72.04387478	1.20027150	0.11496229	10.44056723
W_TST_0993	0.15000000	64.24465579	3.21638481	0.30806610	10.44056723
W_TST_0992	0.37000000	42.98862524	2.89944765	0.27770978	10.44056723
W_TST_0989	0.24000000	79.69243811	0.75777976	0.07258032	10.44056723
W_TST_0988	0.30000000	77.01712147	0.76851153	0.07360822	10.44056723
W_TST_0985	1.90000000	85.81142961	0.03854466	0.00369182	10.44056723
W_TST_0984	0.87000000	47.69975282	1.04590560	0.10017709	10.44056723
W_TST_0982	0.15000000	82.30756156	0.90047280	0.08624750	10.44056723
W_TST_0981	6.72000000	64.12685649	0.07217184	0.00691264	10.44056723
W_TST_0980	0.59000000	71.09938929	0.58031938	0.05558313	10.44056723
W_TST_0978	0.24000000	84.42087326	0.40701275	0.03898378	10.44056723
W_TST_0977	0.70000000	71.92804612	0.46615525	0.04464846	10.44056723
W_TST_0976	2.13000000	43.67990655	0.49163156	0.04708859	10.44056723
W_TST_0975	1.26000000	63.94642837	0.38800836	0.03716353	10.44056723
W_TST_0974	0.42000000	88.06978678	0.08024125	0.00768553	10.44056723
W_TST_0972	0.14000000	89.86517208	0.01680854	0.00160993	10.44056723
W_TST_0970	0.18000000	76.55778245	1.32784664	0.12718147	10.44056723
W_TST_0968	0.46000000	49.45576892	1.85960145	0.17811307	10.44056723
W_TST_0965	0.40000000	87.76523117	0.09755966	0.00934429	10.44056723
W_TST_0962	0.22000000	69.17365776	1.72904799	0.16560863	10.44056723
W_TST_0960	0.29000000	55.73268573	2.34937290	0.22502349	10.44056723
W_TST_0959	0.20000000	31.73307630	8.08524608	0.77440678	10.44056723
W_TST_0957	0.38000000	76.20320425	0.64622174	0.06189527	10.44056723
W_TST_0956	0.12000000	74.54129226	2.30457155	0.22073241	10.44056723
W_TST_0955	0.63000000	74.29912975	0.44619637	0.04273679	10.44056723
W_TST_0954	0.23000000	74.84407848	1.17768720	0.11279916	10.44056723
W_TST_0953	0.44000000	45.54456062	2.22993103	0.21358332	10.44056723
W_TST_0952	0.26000000	79.80205236	0.69189008	0.06626940	10.44056723
W_TST_0951	0.70000000	76.96291354	0.33078582	0.03168274	10.44056723
W_TST_0950	0.85000000	29.39507812	2.08831837	0.20001963	10.44056723
W_TST_0949	2.39000000	56.39410528	0.27805302	0.02663198	10.44056723
W_TST_0948	1.98000000	61.95789790	0.26901635	0.02576645	10.44056723
W_TST_0946	1.41000000	73.63316272	0.20828878	0.01994995	10.44056723
W_TST_0945	2.53000000	75.54607812	0.10188133	0.00975822	10.44056723
W_TST_0943	0.54000000	23.81920115	4.19490221	0.40178873	10.44056723
W_TST_0942	0.41000000	69.84880789	0.89502802	0.08572600	10.44056723
W_TST_0941	0.34000000	74.48633960	0.81641564	0.07819648	10.44056723
W_TST_0940	0.25000000	71.36711598	1.34870497	0.12917928	10.44056723
W_TST_0939	0.27000000	37.22961164	4.87421649	0.46685361	10.44056723
W_TST_0938	0.48000000	69.72215929	0.76973255	0.07372517	10.44056723
W_TST_0937	0.18000000	73.15583272	1.68199516	0.16110189	10.44056723
W_TST_0936	0.54000000	52.17969426	1.43749501	0.13768361	10.44056723
W_TST_0935	0.22000000	76.11872464	1.12330994	0.10759089	10.44056723
W_TST_0934	0.23000000	62.91484814	2.22347342	0.21296481	10.44056723
W_TST_0930	0.13000000	64.66889408	3.64124779	0.34875958	10.44056723
W_TST_0929	0.64000000	66.52777272	0.67849395	0.06498631	10.44056723
W_TST_0925	0.23000000	67.14985771	1.83213679	0.17548250	10.44056723
W_TST_0924	0.19000000	72.22076077	1.68771172	0.16164943	10.44056723
W_TST_0922	0.70000000	63.89488869	0.70000796	0.06704693	10.44056723
W_TST_0921	0.48000000	42.44461442	2.27797635	0.21818511	10.44056723
W_TST_0917	0.49000000	86.78763957	0.11454099	0.01097076	10.44056723
W_TST_0916	0.34000000	57.12838270	1.90066631	0.18204627	10.44056723
W_TST_0915	0.23000000	83.10139943	0.52603702	0.05038395	10.44056723
W_TST_0914	0.19000000	62.23280774	2.77109807	0.26541643	10.44056723
W_TST_0912	0.12000000	80.04196145	1.46309952	0.14013602	10.44056723
W_TST_0911	0.12000000	87.33007694	0.38860589	0.03722076	10.44056723
W_TST_0910	0.15000000	75.02980925	1.78261098	0.17073890	10.44056723
W_TST_0909	0.27000000	67.77486277	1.51334935	0.14494896	10.44056723
W_TST_0908	1.34000000	58.80471854	0.45187237	0.04328044	10.44056723
W_TST_0907	2.64000000	56.37179997	0.25193488	0.02413038	10.44056723
W_TST_0906	0.22000000	83.08792484	0.55103245	0.05277802	10.44056723
W_TST_0904	0.46000000	89.41188438	0.02231503	0.00213734	10.44056723
W_TST_0903	0.11000000	80.21395211	1.56799298	0.15018274	10.44056723
W_TST_0902	0.69000000	29.61797450	2.54932352	0.24417481	10.44056723
W_TST_0901	0.30000000	81.64323462	0.48965399	0.04689918	10.44056723
W_TST_0900	4.62000000	82.02843921	0.03031054	0.00290315	10.44056723
W_TST_0899	0.27000000	55.75875296	2.52093407	0.24145566	10.44056723
W_TST_0898	0.19000000	84.67682297	0.49039583	0.04697023	10.44056723
W_TST_0897	0.14000000	63.76647145	3.51991488	0.33713828	10.44056723
W_TST_0896	0.18000000	64.13639803	2.69327279	0.25796231	10.44056723
W_TST_0894	1.16000000	70.85541501	0.29926961	0.02866411	10.44056723
W_TST_0892	0.52000000	72.22426207	0.61653430	0.05905180	10.44056723
W_TST_0891	0.18000000	82.21622126	0.75941414	0.07273687	10.44056723
W_TST_0890	0.17000000	81.72472250	0.85555046	0.08194483	10.44056723
W_TST_0889	0.31000000	84.99984320	0.28223039	0.02703209	10.44056723
W_TST_0887	0.17000000	65.92684412	2.62799687	0.25171016	10.44056723
