D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
235.81938930	59.34910581	235.81938930	83.53294788	-0.42174741	-0.28641065	-0.86028952	-0.09317703	-0.06327696	-0.99363679	24.18384207
235.81938930	59.34910581	235.81938930	84.90913346	-0.42174741	-0.28641065	-0.86028952	-0.07340830	-0.04985192	-0.99605522	25.56002765
235.81938930	59.34910581	235.81938930	75.10632386	-0.42174741	-0.28641065	-0.86028952	-0.21263020	-0.14439817	-0.96640445	15.75721805
235.81938930	59.34910581	235.81938930	38.42149561	-0.42174741	-0.28641065	-0.86028952	-0.64813384	-0.44015074	-0.62144175	20.92761020
235.81938930	59.34910581	235.81938930	69.48630296	-0.42174741	-0.28641065	-0.86028952	-0.28990155	-0.19687351	-0.93658844	10.13719715
235.81938930	59.34910581	235.81938930	58.96071876	-0.42174741	-0.28641065	-0.86028952	-0.42656199	-0.28968025	-0.85681400	0.38838705
235.81938930	59.34910581	235.81938930	62.63126822	-0.42174741	-0.28641065	-0.86028952	-0.38030894	-0.25826959	-0.88806640	3.28216241
235.81938930	59.34910581	235.81938930	83.84501709	-0.42174741	-0.28641065	-0.86028952	-0.08869850	-0.06023557	-0.99423551	24.49591128
235.81938930	59.34910581	235.81938930	85.97825438	-0.42174741	-0.28641065	-0.86028952	-0.05802070	-0.03940213	-0.99753750	26.62914857
235.81938930	59.34910581	235.81938930	87.88085078	-0.42174741	-0.28641065	-0.86028952	-0.03059057	-0.02077420	-0.99931609	28.53174497
235.81938930	59.34910581	235.81938930	46.67104753	-0.42174741	-0.28641065	-0.86028952	-0.56766162	-0.38550168	-0.72742611	12.67805828
235.81938930	59.34910581	235.81938930	83.67295613	-0.42174741	-0.28641065	-0.86028952	-0.09116809	-0.06191268	-0.99390905	24.32385032
235.81938930	59.34910581	235.81938930	84.35799388	-0.42174741	-0.28641065	-0.86028952	-0.08133107	-0.05523231	-0.99515559	25.00888807
235.81938930	59.34910581	235.81938930	84.42199924	-0.42174741	-0.28641065	-0.86028952	-0.08041135	-0.05460773	-0.99526479	25.07289343
235.81938930	59.34910581	235.81938930	55.67169956	-0.42174741	-0.28641065	-0.86028952	-0.46652611	-0.31682008	-0.82581985	3.67740625
235.81938930	59.34910581	235.81938930	76.84240515	-0.42174741	-0.28641065	-0.86028952	-0.18831185	-0.12788346	-0.97374764	17.49329934
235.81938930	59.34910581	235.81938930	49.31934755	-0.42174741	-0.28641065	-0.86028952	-0.53925011	-0.36620729	-0.75835449	10.02975826
235.81938930	59.34910581	235.81938930	88.98776736	-0.42174741	-0.28641065	-0.86028952	-0.01461446	-0.00992475	-0.99984395	29.63866155
235.81938930	59.34910581	235.81938930	88.75306837	-0.42174741	-0.28641065	-0.86028952	-0.01800252	-0.01222560	-0.99976319	29.40396256
235.81938930	59.34910581	235.81938930	75.45343546	-0.42174741	-0.28641065	-0.86028952	-0.20778289	-0.14110634	-0.96794384	16.10432965
235.81938930	59.34910581	235.81938930	72.38943740	-0.42174741	-0.28641065	-0.86028952	-0.25028713	-0.16997117	-0.95313491	13.04033159
235.81938930	59.34910581	235.81938930	72.28428263	-0.42174741	-0.28641065	-0.86028952	-0.25173384	-0.17095364	-0.95257804	12.93517682
235.81938930	59.34910581	235.81938930	78.63451435	-0.42174741	-0.28641065	-0.86028952	-0.16302760	-0.11071281	-0.98039006	19.28540854
235.81938930	59.34910581	235.81938930	87.95058235	-0.42174741	-0.28641065	-0.86028952	-0.02958441	-0.02009091	-0.99936035	28.60147654
235.81938930	59.34910581	235.81938930	72.83002730	-0.42174741	-0.28641065	-0.86028952	-0.24421642	-0.16584852	-0.95543320	13.48092149
