NAME_ID s	iID i	N.X d	N.Y d	N.Z d	D.X d	D.Y d	D.Z d	S.X d	S.Y d	S.Z d	NC.X d	NC.Y d	NC.Z d	DC.X d	DC.Y d	DC.Z d	SC.X d	SC.Y d	SC.Z d	LPITCH  d	LPITCHSENSE s	PITCHANGLE  d	MISFIT d	LINEATION s	OFFSET s	DEPTH d	GC s	COLOR s	LOC s	LOCX d	LOCY d	FORMATION s	DATATYPE s	DIPDIR d	DIP d	LDIR d	LDIP d	corr.DIPDIR d	corr.DIP d	corrL.DIPDIR d	corrL.DIP d	PALEON d	COMMENT s	DATAGROUP s	PSCOLOR s	DASHED s	ptnP.X d	ptnP.Y d	ptnP.Z d	ptnT.X d	ptnT.Y d	ptnT.Z d	ptnN.X d	ptnN.Y d	ptnN.Z d	avD.X d	avD.Y d	avD.Z d	avS0D.X d	avS0D.Y d	avS0D.Z d	avS0N.X d	avS0N.Y d	avS0N.Z d	avS0d.DIPDIR d	avS0d.DIP d	avd.DIPDIR d	avd.DIP d	avS0offset s	TRAJECTORY.X d	TRAJECTORY.Y d	TRAJECTORY.Z d	fold_great_circle_N.X d	fold_great_circle_N.Y d	fold_great_circle_N.Z d	SHEAR_S.X d	SHEAR_S.Y d	SHEAR_S.Z d	NORMAL_S.X d	NORMAL_S.Y d	NORMAL_S.Z d	lambda d	ANG d	RUP d
ANG_026	25	0.75722776	-0.61319095	0.22495105	0.17481980	-0.14156629	-0.97437006	0.62932039	0.77714596	-0.00000000	-0.30350543	-0.68191898	0.66548550	-0.27059961	-0.60798586	-0.74641077	0.91359745	-0.40661984	-0.00000000	50.00000000	S	130.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	129.00000000	77.00000000	NAN	NAN	129.00000000	77.00000000	203.99267468	48.28041723	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.06595757	-0.01809377	-0.27134719	-0.07637350	0.06184604	-0.02268842	0.86602540	45.62878776	56.50683751
ANG_027	26	0.45046245	-0.74969541	0.48480962	0.24969541	-0.41556295	-0.87461971	0.85716730	0.51503807	0.00000000	-0.22115847	-0.73989779	0.63532683	-0.18194771	-0.60871604	-0.77224337	0.95811480	-0.28638442	-0.00000000	62.00000000	W	118.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	149.00000000	61.00000000	NAN	NAN	149.00000000	61.00000000	196.64161991	50.55577071	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.12503097	-0.16584245	-0.37262685	-0.14485781	0.24108388	-0.15590303	0.86602540	30.92344704	34.42452099
ANG_028	27	-0.29004953	0.79690454	0.52991926	-0.18124306	0.49796122	-0.84804810	-0.93969262	-0.34202014	0.00000000	0.11934429	0.80641286	0.57918497	0.08479238	0.57294458	-0.81519615	-0.98922555	0.14639947	0.00000000	74.00000000	E	106.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	340.00000000	58.00000000	NAN	NAN	340.00000000	58.00000000	8.41832800	54.60676149	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.15607139	0.16471901	-0.33313331	0.08675497	-0.23835733	-0.15850097	0.86602540	28.94895304	34.82074107
ANG_029	28	0.41790046	-0.82017583	0.39073113	0.17738822	-0.34814398	-0.92050485	0.89100652	0.45399050	-0.00000000	0.07820613	-0.90580206	0.41642098	0.03582015	-0.41487752	-0.90917191	0.99629349	0.08601908	-0.00000000	81.00000000	W	99.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	153.00000000	67.00000000	NAN	NAN	153.00000000	67.00000000	175.06537176	65.39116547	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.09231355	-0.11449352	-0.33906357	-0.10085740	0.19794379	-0.09430027	0.86602540	13.69837986	30.56022437
ANG_030	29	0.73443119	-0.42402405	0.52991926	0.45892354	-0.26495963	-0.84804810	0.50000000	0.86602540	-0.00000000	0.12858639	-0.70759694	0.69481804	0.12422961	-0.68362206	-0.71918557	0.98388645	0.17879445	-0.00000000	58.00000000	S	122.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	120.00000000	58.00000000	NAN	NAN	120.00000000	58.00000000	169.70045246	45.98728075	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.21927575	-0.12441572	-0.40345430	-0.26193555	0.15122856	-0.18899618	0.86602540	32.22770343	32.24715185
ANG_031	30	0.79172110	-0.49472225	0.35836795	0.30391326	-0.18990608	-0.93358043	0.52991926	0.84804810	0.00000000	0.88309053	-0.29172411	0.36748899	0.34894228	-0.11527117	-0.93002787	0.31367244	0.94953125	-0.00000000	85.00000000	N	85.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	122.00000000	69.00000000	NAN	NAN	122.00000000	69.00000000	108.28068876	68.43916000	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.12325440	-0.06339575	-0.35981566	-0.15015851	0.09382945	-0.06796837	0.86602540	3.28315730	26.77940143
ANG_032	31	0.65164092	-0.60766499	0.45399050	0.33202763	-0.30962078	-0.89100652	0.68199836	0.73135370	0.00000000	0.49506605	-0.73493401	0.46344536	0.25892051	-0.38437192	-0.88612550	0.82937915	0.55868616	-0.00000000	84.00000000	S	96.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	133.00000000	63.00000000	NAN	NAN	133.00000000	63.00000000	146.03501436	62.39034516	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.15591244	-0.12046398	-0.38503155	-0.18319194	0.17082924	-0.12762765	0.86602540	8.41569663	22.63183694
ANG_033	32	0.84031395	-0.39184483	0.37460659	0.33950887	-0.15831559	-0.92718385	0.42261826	0.90630779	0.00000000	0.88528509	-0.27126652	0.37773639	0.36116172	-0.11066614	-0.92591318	0.29297187	0.95612106	-0.00000000	87.00000000	N	87.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	115.00000000	68.00000000	NAN	NAN	115.00000000	68.00000000	107.03596157	67.80646023	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.13628822	-0.06232299	-0.37091134	-0.16968427	0.07912507	-0.07564416	0.86602540	2.84043634	25.17149218
ANG_034	33	0.24194429	-0.70265724	0.66913061	0.21784762	-0.63267542	-0.74314483	0.94551858	0.32556815	-0.00000000	0.32973969	-0.66282796	0.67225801	0.29942601	-0.60189276	-0.74031694	0.89532999	0.44540341	-0.00000000	85.00000000	E	85.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	161.00000000	48.00000000	NAN	NAN	161.00000000	48.00000000	153.55084799	47.75842058	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.09546204	-0.29088427	-0.33997613	-0.12789939	0.37144679	-0.35372356	0.86602540	5.55624549	19.70061839
ANG_035	34	-0.31930331	0.87727864	0.35836795	-0.12256906	0.33675572	-0.93358043	-0.93969262	-0.34202014	0.00000000	-0.40263512	0.84166253	0.35984600	-0.15528919	0.32461424	-0.93301171	-0.90209214	-0.43154347	-0.00000000	88.00000000	W	88.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	340.00000000	69.00000000	NAN	NAN	340.00000000	69.00000000	334.43444713	68.90926161	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.11175103	0.06438363	-0.25717940	0.05402600	-0.14843522	-0.06063572	0.86602540	14.76566108	40.51955767
ANG_036	35	-0.88667033	0.27108232	0.37460659	-0.35823807	0.10952437	-0.92718385	-0.29237170	-0.95630476	-0.00000000	-0.67635939	0.61342127	0.40774050	-0.30202581	0.27392103	-0.91309785	-0.67180234	-0.74073046	-0.00000000	80.00000000	N	100.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	287.00000000	68.00000000	NAN	NAN	287.00000000	68.00000000	312.20632312	65.93702435	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.10071689	0.03283281	-0.26214989	0.07805190	-0.02386286	-0.03297591	0.86602540	9.60456147	40.07749117
ANG_037	36	0.09822463	0.93454489	0.34202014	0.03575084	0.34014652	-0.93969262	-0.99452190	0.10452846	-0.00000000	-0.54443718	0.70872368	0.44866346	-0.27332310	0.35579964	-0.89370079	-0.79302121	-0.60919403	-0.00000000	72.00000000	W	72.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	6.00000000	70.00000000	NAN	NAN	6.00000000	70.00000000	322.46875140	63.34203499	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.04585839	0.09976557	-0.25943202	-0.02179037	-0.20732152	-0.07587451	0.86602540	6.52669854	39.78931283
ANG_038	37	-0.01650157	0.94537457	0.32556815	-0.00568195	0.32551857	-0.94551858	-0.99984770	-0.01745241	0.00000000	0.03412967	0.94475830	0.32598608	0.01176867	0.32577358	-0.94537457	-0.99934812	0.03610174	0.00000000	89.00000000	E	91.00000000	NAN	PITCH	NORMAL	NAN	XXX		ANG002	0.00000000	0.00000000		STRIAE	359.00000000	71.00000000	NAN	NAN	359.00000000	71.00000000	2.06892712	70.97467288	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.06752602	0.08311161	-0.24475947	0.00327391	-0.18756211	-0.06459265	0.86602540	15.31703428	43.31010721
ANG_039	38	0.75440651	0.63302222	0.17364818	0.13302222	0.11161890	-0.98480775	-0.64278761	0.76604444	-0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	XXX		ANG002	0.00000000	0.00000000		BEDDING	50.00000000	80.00000000	NAN	NAN	50.00000000	80.00000000	NAN	NAN	-99999999.99900000		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	50.50000000	79.99962691	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
ANG_040	39	0.76533937	0.61975960	0.17364818	0.13494998	0.10928034	-0.98480775	-0.62932039	0.77714596	0.00000000	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NONE	NAN	NAN	NONE	NONE	NAN	XXX		ANG002	0.00000000	0.00000000		BEDDING	51.00000000	80.00000000	NAN	NAN	51.00000000	80.00000000	NAN	NAN	-99999999.99900000		PLANE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	0.13399615	0.11045790	-0.98480662	0.13399615	0.11045790	-0.98480662	0.75990100	0.62641404	0.17365459	50.50000000	79.99962691	50.50000000	79.99962691	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
