ID s	INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
W_TST_1084	0.16000000	82.42781560	0.83084002	0.05106477	0.83084002
W_TST_1083	0.53000000	47.58073275	1.72404214	0.10596241	1.72404214
W_TST_1082	0.19000000	80.11422669	0.91722150	0.05637391	1.72404214
W_TST_1081	0.27000000	74.37026223	1.03616511	0.06368438	1.72404214
W_TST_1080	2.84000000	71.53160447	0.11759932	0.00722784	1.72404214
W_TST_1079	0.44000000	23.38986950	5.25451161	0.32295075	5.25451161
W_TST_1078	0.93000000	56.25612415	0.71830542	0.04414821	5.25451161
W_TST_1077	0.59000000	26.99711110	3.32687316	0.20447499	5.25451161
W_TST_1076	0.11000000	64.12126105	4.41014022	0.27105433	5.25451161
W_TST_1075	0.34000000	45.58004534	2.88222013	0.17714590	5.25451161
W_TST_1074	0.41000000	71.10791877	0.83468811	0.05130128	5.25451161
W_TST_1073	0.19000000	66.72793788	2.26363218	0.13912648	5.25451161
W_TST_1072	0.20000000	69.57866673	1.86160279	0.11441711	5.25451161
W_TST_1071	0.50000000	88.65443929	0.04697757	0.00288732	5.25451161
W_TST_1070	0.61000000	74.92494406	0.44156346	0.02713920	5.25451161
W_TST_1069	0.24000000	43.06150888	4.45859706	0.27403256	5.25451161
W_TST_1068	0.16000000	65.92566421	2.79240107	0.17162547	5.25451161
W_TST_1067	0.11000000	47.33007437	8.38001872	0.51504946	8.38001872
W_TST_1066	0.38000000	52.61938160	2.01058384	0.12357372	8.38001872
W_TST_1065	0.49000000	66.82136462	0.87379436	0.05370481	8.38001872
W_TST_1064	0.68000000	58.71171751	0.89371979	0.05492946	8.38001872
W_TST_1063	0.12000000	89.89511520	0.01525489	0.00093759	8.38001872
W_TST_1062	0.45000000	88.97968606	0.03957716	0.00243248	8.38001872
W_TST_1061	0.13000000	64.88073774	3.60649427	0.22166095	8.38001872
W_TST_1060	0.66000000	69.03471379	0.58055917	0.03568210	8.38001872
W_TST_1059	5.01000000	51.75024087	0.15735122	0.00967106	8.38001872
W_TST_1058	0.44000000	85.97993090	0.15972456	0.00981693	8.38001872
W_TST_1057	0.25000000	57.86061871	2.51302813	0.15445476	8.38001872
W_TST_1056	1.02000000	17.66962209	3.07760730	0.18915471	8.38001872
W_TST_1055	0.70000000	64.36291262	0.68559408	0.04213772	8.38001872
W_TST_1054	0.51000000	78.82149778	0.38748126	0.02381522	8.38001872
W_TST_1053	0.12000000	79.01871991	1.61701052	0.09938407	8.38001872
W_TST_1052	0.26000000	89.98714388	0.00086301	0.00005304	8.38001872
W_TST_1051	0.19000000	82.65309303	0.67860609	0.04170822	8.38001872
