D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
230.71324954	5.51617946	230.71324954	65.84498637	-0.77040240	-0.63026961	-0.09612683	-0.31672056	-0.25911049	-0.91244169	60.32880691
230.71324954	5.51617946	230.71324954	13.87852295	-0.77040240	-0.63026961	-0.09612683	-0.75139125	-0.61471650	-0.23986416	8.36234350
230.71324954	5.51617946	230.71324954	47.89785424	-0.77040240	-0.63026961	-0.09612683	-0.51892276	-0.42453301	-0.74195073	42.38167478
230.71324954	5.51617946	230.71324954	43.02634438	-0.77040240	-0.63026961	-0.09612683	-0.56581524	-0.46289595	-0.68233456	37.51016492
230.71324954	5.51617946	230.71324954	11.81727229	-0.77040240	-0.63026961	-0.09612683	-0.75758255	-0.61978163	-0.20479113	6.30109283
230.71324954	5.51617946	230.71324954	42.86611901	-0.77040240	-0.63026961	-0.09612683	-0.56728989	-0.46410236	-0.68028757	37.34993956
230.71324954	5.51617946	230.71324954	34.52696260	-0.77040240	-0.63026961	-0.09612683	-0.63765630	-0.52166944	-0.56679400	29.01078314
230.71324954	5.51617946	230.71324954	24.86565804	-0.77040240	-0.63026961	-0.09612683	-0.70223516	-0.57450169	-0.42049207	19.34947858
230.71324954	5.51617946	230.71324954	24.17964920	-0.77040240	-0.63026961	-0.09612683	-0.70608145	-0.57764835	-0.40959903	18.66346974
230.71324954	5.51617946	230.71324954	20.29039508	-0.77040240	-0.63026961	-0.09612683	-0.72595853	-0.59390988	-0.34677842	14.77421562
230.71324954	5.51617946	230.71324954	23.29419459	-0.77040240	-0.63026961	-0.09612683	-0.71089626	-0.58158737	-0.39545244	17.77801513
230.71324954	5.51617946	230.71324954	33.38333704	-0.77040240	-0.63026961	-0.09612683	-0.64628499	-0.52872861	-0.55023792	27.86715758
230.71324954	5.51617946	230.71324954	20.95817175	-0.77040240	-0.63026961	-0.09612683	-0.72278109	-0.59131041	-0.35768630	15.44199229
230.71324954	5.51617946	230.71324954	13.88870509	-0.77040240	-0.63026961	-0.09612683	-0.75135824	-0.61468950	-0.24003668	8.37252564
230.71324954	5.51617946	230.71324954	47.12099304	-0.77040240	-0.63026961	-0.09612683	-0.52666109	-0.43086377	-0.73279226	41.60481359
230.71324954	5.51617946	230.71324954	30.04177196	-0.77040240	-0.63026961	-0.09612683	-0.67000979	-0.54813797	-0.50063125	24.52559250
230.71324954	5.51617946	230.71324954	45.84411234	-0.77040240	-0.63026961	-0.09612683	-0.53916912	-0.44109664	-0.71744715	40.32793289
230.71324954	5.51617946	230.71324954	12.85586565	-0.77040240	-0.63026961	-0.09612683	-0.75458503	-0.61732935	-0.22249920	7.33968620
230.71324954	5.51617946	230.71324954	28.61470484	-0.77040240	-0.63026961	-0.09612683	-0.67945200	-0.55586268	-0.47891717	23.09852538
230.71324954	5.51617946	230.71324954	2.09059819	-0.77040240	-0.63026961	-0.09612683	-0.77347149	-0.63278044	-0.03647973	3.42558127
230.71324954	5.51617946	230.71324954	9.78826933	-0.77040240	-0.63026961	-0.09612683	-0.76271952	-0.62398421	-0.17000774	4.27208988
230.71324954	5.51617946	230.71324954	9.39924132	-0.77040240	-0.63026961	-0.09612683	-0.76359536	-0.62470074	-0.16331290	3.88306187
230.71324954	5.51617946	230.71324954	22.00051967	-0.77040240	-0.63026961	-0.09612683	-0.71762530	-0.58709243	-0.37461500	16.48434022
230.71324954	5.51617946	230.71324954	24.14630206	-0.77040240	-0.63026961	-0.09612683	-0.70626584	-0.57779921	-0.40906801	18.63012261
230.71324954	5.51617946	230.71324954	15.47921681	-0.77040240	-0.63026961	-0.09612683	-0.74591209	-0.61023398	-0.26688882	9.96303736
230.71324954	5.51617946	230.71324954	8.72002553	-0.77040240	-0.63026961	-0.09612683	-0.76504011	-0.62588270	-0.15160630	3.20384607
230.71324954	5.51617946	230.71324954	11.10546262	-0.77040240	-0.63026961	-0.09612683	-0.75949322	-0.62134476	-0.19261552	5.58928317
230.71324954	5.51617946	230.71324954	47.54314321	-0.77040240	-0.63026961	-0.09612683	-0.52246797	-0.42743336	-0.73778584	42.02696376
