INT d	DIP d	FREQ d	FREQ_NRM d	FREQ_MAX d
1.88000000	66.78645289	0.22812790	0.04050801	4.83141730
0.27000000	72.56670776	1.16303424	0.20651661	4.83141730
0.63000000	72.21325718	0.50922169	0.09042102	4.83141730
0.76000000	68.47995489	0.51883509	0.09212804	4.83141730
0.43000000	74.91958769	0.62663717	0.11127014	4.83141730
0.63000000	73.55727409	0.46845474	0.08318215	4.83141730
1.85000000	72.61825888	0.16920598	0.03004541	4.83141730
0.28000000	73.07407584	1.08684831	0.19298850	4.83141730
2.87000000	71.86696606	0.11410754	0.02026174	4.83141730
3.15000000	57.94123888	0.19882422	0.03530464	4.83141730
0.52000000	64.96571416	0.89814689	0.15948133	4.83141730
2.51000000	61.76806825	0.21390958	0.03798330	4.83141730
0.51000000	69.61066453	0.72879374	0.12940979	4.83141730
0.31000000	62.97255227	1.64557748	0.29220041	4.83141730
0.28000000	59.43402457	2.10927534	0.37453790	4.83141730
0.35000000	59.12766174	1.70809179	0.30330090	4.83141730
0.74000000	62.90071910	0.69150002	0.12278765	4.83141730
0.96000000	62.62608587	0.53934718	0.09577031	4.83141730
0.70000000	55.65108532	0.97629352	0.17335761	4.83141730
0.52000000	55.58731964	1.31738349	0.23392396	4.83141730
0.55000000	60.82717899	1.01501590	0.18023343	4.83141730
0.22000000	69.82620662	1.67004154	0.29654443	4.83141730
0.93000000	64.58712514	0.51087131	0.09071393	4.83141730
0.39000000	62.91225733	1.31142547	0.23286601	4.83141730
0.79000000	62.20306514	0.66730610	0.11849161	4.83141730
0.48000000	63.42219028	1.04224662	0.18506871	4.83141730
1.03000000	59.23740267	0.57789826	0.10261572	4.83141730
7.29000000	45.11182094	0.13663982	0.02426274	4.83141730
0.82000000	48.67445200	1.07233148	0.19041079	4.83141730
0.11000000	79.31067912	1.71599026	0.30470341	4.83141730
0.22000000	82.92838104	0.56387994	0.10012652	4.83141730
0.50000000	87.90363905	0.07320947	0.01299959	4.83141730
0.40000000	56.69927149	1.64223856	0.29160753	4.83141730
0.18000000	49.25204582	4.78662729	0.84994750	4.83141730
0.77000000	47.33192757	1.19706784	0.21255986	4.83141730
0.82000000	50.05200655	1.02140736	0.18136834	4.83141730
1.11000000	49.86332212	0.75961519	0.13488266	4.83141730
3.06000000	47.12213896	0.30344364	0.05388161	4.83141730
1.01000000	48.20203541	0.88518740	0.15718015	4.83141730
2.82000000	43.85487441	0.36907559	0.06553568	4.83141730
1.10000000	58.02354577	0.56754372	0.10077709	4.83141730
0.59000000	54.38981702	1.21389583	0.21554796	4.83141730
0.79000000	56.68463603	0.83197613	0.14773159	4.83141730
0.47000000	68.62311798	0.83283050	0.14788329	4.83141730
0.63000000	56.18843720	1.06306975	0.18876621	4.83141730
0.64000000	52.99433742	1.17767033	0.20911550	4.83141730
0.28000000	53.55639624	2.63728192	0.46829449	4.83141730
5.00000000	47.58508151	0.18272061	0.03244517	4.83141730
1.06000000	71.28837853	0.31953530	0.05673895	4.83141730
0.31000000	66.60568211	1.39555131	0.24780399	4.83141730
1.23000000	67.27852439	0.34044678	0.06045215	4.83141730
1.61000000	66.55387373	0.26937564	0.04783225	4.83141730
0.67000000	60.82734316	0.83321640	0.14795182	4.83141730
0.68000000	63.03985406	0.74801410	0.13282269	4.83141730
0.36000000	62.70836023	1.43320477	0.25449001	4.83141730
4.64000000	61.58538108	0.11660081	0.02070447	4.83141730
1.08000000	70.73522221	0.32361577	0.05746351	4.83141730
0.55000000	57.51577131	1.15760609	0.20555275	4.83141730
3.84000000	61.30178798	0.14256340	0.02531457	4.83141730
0.25000000	57.02792714	2.59485933	0.46076163	4.83141730
0.73000000	53.51519674	1.01308315	0.17989023	4.83141730
0.89000000	52.68622027	0.85637752	0.15206447	4.83141730
0.22000000	50.19609519	3.78765480	0.67256286	4.83141730
0.23000000	41.31459373	4.94648502	0.87833298	4.94648502
0.30000000	60.50781934	1.88530878	0.33476880	4.94648502
0.26000000	52.20700317	2.98262984	0.52961692	4.94648502
0.29000000	53.22917552	2.57690240	0.45757307	4.94648502
0.46000000	49.14305505	1.88024505	0.33386965	4.94648502
0.37000000	43.11157566	2.88700176	0.51263652	4.94648502
0.43000000	53.01774045	1.75132259	0.31097727	4.94648502
0.58000000	59.18678393	1.02833158	0.18259785	4.94648502
3.72000000	59.48009086	0.15847128	0.02813928	4.94648502
0.14000000	61.27107958	3.91528744	0.69522622	4.94648502
0.49000000	64.44953969	0.97562663	0.17323919	4.94648502
0.21000000	67.79476343	1.94380505	0.34515582	4.94648502
0.92000000	66.96251370	0.46222519	0.08207598	4.94648502
0.74000000	67.03578032	0.57261893	0.10167828	4.94648502
3.06000000	68.21732122	0.13059504	0.02318938	4.94648502
1.14000000	59.54783408	0.51572020	0.09157494	4.94648502
0.53000000	66.69450949	0.81279556	0.14432575	4.94648502
1.08000000	66.14113781	0.40951879	0.07271706	4.94648502
1.01000000	70.05591860	0.35927265	0.06379500	4.94648502
1.01000000	70.69787134	0.34676904	0.06157477	4.94648502
0.35000000	66.15724439	1.26269781	0.22421358	4.94648502
1.16000000	58.50576923	0.52815715	0.09378333	4.94648502
0.73000000	68.25537292	0.54637103	0.09701752	4.94648502
1.52000000	65.60670884	0.29834141	0.05297562	4.94648502
2.62000000	71.14341679	0.13035502	0.02314676	4.94648502
2.53000000	72.34840157	0.12577476	0.02233346	4.94648502
8.27000000	72.97288088	0.03703124	0.00657553	4.94648502
0.17000000	67.96882526	2.38034873	0.42267161	4.94648502
0.69000000	56.18063402	0.97091484	0.17240253	4.94648502
0.12000000	55.94913764	5.63167403	1.00000000	5.63167403
0.26000000	68.01235055	1.55298270	0.27575863	5.63167403
0.19000000	58.97097313	3.16605446	0.56218710	5.63167403
0.35000000	63.77394250	1.40750295	0.24992621	5.63167403
0.49000000	63.87095722	1.00106867	0.17775686	5.63167403
0.75000000	64.65862848	0.63144206	0.11212333	5.63167403
0.80000000	66.80921204	0.53551281	0.09508945	5.63167403
0.87000000	64.72609151	0.54269060	0.09636399	5.63167403
0.87000000	64.29326445	0.55334746	0.09825630	5.63167403
0.98000000	61.09152238	0.56349258	0.10005774	5.63167403
0.92000000	62.73322729	0.56022205	0.09947700	5.63167403
3.12000000	57.18573183	0.20666940	0.03669769	5.63167403
0.95000000	66.62573562	0.45495312	0.08078470	5.63167403
0.62000000	75.80306943	0.40803532	0.07245365	5.63167403
0.69000000	65.64666769	0.65599764	0.11648360	5.63167403
0.60000000	62.74348690	0.85862947	0.15246434	5.63167403
1.47000000	64.38280894	0.32618278	0.05791933	5.63167403
0.27000000	67.74080193	1.51591933	0.26917739	5.63167403
1.04000000	67.74889865	0.39339735	0.06985442	5.63167403
4.06000000	63.30651081	0.12384365	0.02199056	5.63167403
1.05000000	41.50925878	1.07612039	0.19108357	5.63167403
2.48000000	42.24255053	0.44403298	0.07884565	5.63167403
0.72000000	53.15142397	1.04085931	0.18482237	5.63167403
0.59000000	67.64756249	0.69694821	0.12375507	5.63167403
0.45000000	73.55932539	0.65575015	0.11643965	5.63167403
1.03000000	65.63827312	0.43962613	0.07806314	5.63167403
0.16000000	62.85481860	3.20450822	0.56901522	5.63167403
0.20000000	59.10042352	2.99238807	0.53134966	5.63167403
0.41000000	61.04784563	1.34931198	0.23959341	5.63167403
1.05000000	63.73697479	0.46993150	0.08344437	5.63167403
0.71000000	63.88079458	0.69057839	0.12262400	5.63167403
0.99000000	64.72262422	0.47698467	0.08469678	5.63167403
0.92000000	65.15317507	0.50332280	0.08937357	5.63167403
0.95000000	68.54612489	0.41366403	0.07345312	5.63167403
0.91000000	67.75768782	0.44940019	0.07979869	5.63167403
0.56000000	66.92790430	0.76064400	0.13506535	5.63167403
1.03000000	67.21849958	0.40774894	0.07240280	5.63167403
1.31000000	67.03157871	0.32353016	0.05744831	5.63167403
0.96000000	64.69613649	0.49247952	0.08744816	5.63167403
0.90000000	65.98272810	0.49509994	0.08791346	5.63167403
0.76000000	66.40220365	0.57479402	0.10206450	5.63167403
0.81000000	65.51935453	0.56212143	0.09981427	5.63167403
0.52000000	68.50428117	0.75735416	0.13448118	5.63167403
0.88000000	63.68351955	0.56203265	0.09979851	5.63167403
1.15000000	62.44425108	0.45374292	0.08056981	5.63167403
0.73000000	61.88914170	0.73177239	0.12993870	5.63167403
0.34000000	64.13413871	1.42599354	0.25320953	5.63167403
0.74000000	63.47546120	0.67448172	0.11976576	5.63167403
0.76000000	68.60483227	0.51552424	0.09154014	5.63167403
0.88000000	70.49263401	0.40257189	0.07148352	5.63167403
0.77000000	72.34027093	0.41346290	0.07341741	5.63167403
0.77000000	72.46178360	0.41043150	0.07287913	5.63167403
1.02000000	71.33473550	0.33118212	0.05880705	5.63167403
0.72000000	67.87858314	0.56457415	0.10024979	5.63167403
0.42000000	52.19814620	1.84697937	0.32796276	5.63167403
0.40000000	70.60665531	0.88006258	0.15627016	5.63167403
0.87000000	67.78943721	0.46931898	0.08333561	5.63167403
0.76000000	70.87211138	0.45635033	0.08103280	5.63167403
0.45000000	70.24469600	0.79809155	0.14171480	5.63167403
1.21000000	70.28169294	0.29620856	0.05259689	5.63167403
0.82000000	69.31496844	0.46045121	0.08176098	5.63167403
1.05000000	70.00239551	0.34659323	0.06154355	5.63167403
0.79000000	69.45811109	0.47432684	0.08422484	5.63167403
0.75000000	71.46052719	0.44714874	0.07939890	5.63167403
0.94000000	70.43360225	0.37810988	0.06713987	5.63167403
0.71000000	64.28685290	0.67823963	0.12043304	5.63167403
0.85000000	65.78390823	0.52912405	0.09395502	5.63167403
0.44000000	70.56535792	0.80189849	0.14239079	5.63167403
0.40000000	68.74168821	0.97261437	0.17270431	5.63167403
0.89000000	70.00553059	0.40883250	0.07259520	5.63167403
0.84000000	68.36076447	0.47228614	0.08386248	5.63167403
0.38000000	69.27757243	0.99556817	0.17678015	5.63167403
1.59000000	71.05625202	0.21586780	0.03833102	5.63167403
0.84000000	69.91344813	0.43533561	0.07730128	5.63167403
0.40000000	68.69377652	0.97502211	0.17313184	5.63167403
2.12000000	69.64266778	0.17502321	0.03107836	5.63167403
0.45000000	68.86422200	0.85907884	0.15254413	5.63167403
0.65000000	68.28740241	0.61262007	0.10878117	5.63167403
0.64000000	69.24479159	0.59214073	0.10514471	5.63167403
0.67000000	70.12758207	0.53947845	0.09579362	5.63167403
0.38000000	64.70904244	1.24343359	0.22079289	5.63167403
0.70000000	68.39065975	0.56588085	0.10048182	5.63167403
0.99000000	66.05806102	0.44850000	0.07963884	5.63167403
0.97000000	66.43712735	0.44960598	0.07983523	5.63167403
0.93000000	71.77232295	0.35410605	0.06287758	5.63167403
0.90000000	79.28614328	0.21022495	0.03732903	5.63167403
0.31000000	76.52666522	0.77285998	0.13723450	5.63167403
0.16000000	72.38612638	1.98428258	0.35234329	5.63167403
0.36000000	59.52403742	1.63466683	0.29026304	5.63167403
1.89000000	66.51534744	0.22989096	0.04082107	5.63167403
0.45000000	78.30192298	0.46012232	0.08170258	5.63167403
0.24000000	77.13454043	0.95165081	0.16898187	5.63167403
0.16000000	63.01897305	3.18192755	0.56500563	5.63167403
0.19000000	65.21016275	2.43078760	0.43162789	5.63167403
1.50000000	75.41803031	0.17342965	0.03079540	5.63167403
1.44000000	73.05430681	0.21159344	0.03757203	5.63167403
0.41000000	70.63553568	0.85721613	0.15221338	5.63167403
1.06000000	73.20184189	0.28479502	0.05057022	5.63167403
0.86000000	72.73356303	0.36142188	0.06417663	5.63167403
3.36000000	73.92516520	0.08576173	0.01522846	5.63167403
0.91000000	65.62320180	0.49794718	0.08841903	5.63167403
1.10000000	70.28744381	0.32572645	0.05783830	5.63167403
0.87000000	71.48525219	0.38492133	0.06834936	5.63167403
0.87000000	72.73991507	0.35712787	0.06341416	5.63167403
0.55000000	67.53093195	0.75196584	0.13352439	5.63167403
1.12000000	72.09714526	0.28843413	0.05121641	5.63167403
1.09000000	73.34858756	0.27439474	0.04872348	5.63167403
2.90000000	67.82163682	0.14056965	0.02496054	5.63167403
1.08000000	78.12021799	0.19478198	0.03458687	5.63167403
0.70000000	71.07405606	0.48983213	0.08697807	5.63167403
0.61000000	67.57613608	0.67648787	0.12012199	5.63167403
0.90000000	70.84538387	0.38594326	0.06853082	5.63167403
1.05000000	70.51241077	0.33702364	0.05984431	5.63167403
1.09000000	66.63035420	0.39643101	0.07039310	5.63167403
1.02000000	70.16914266	0.35355945	0.06278052	5.63167403
0.55000000	67.96860870	0.73575215	0.13064537	5.63167403
0.74000000	71.14419125	0.46150684	0.08194843	5.63167403
1.02000000	68.48034585	0.38657528	0.06864305	5.63167403
1.39000000	68.84935858	0.27833359	0.04942289	5.63167403
0.24000000	67.33228937	1.74019604	0.30900156	5.63167403
0.89000000	70.09056739	0.40694512	0.07226006	5.63167403
1.22000000	68.86836971	0.31680514	0.05625417	5.63167403
0.83000000	67.64754785	0.49542137	0.08797053	5.63167403
0.30000000	70.59993492	1.17385622	0.20843824	5.63167403
1.17000000	67.87770244	0.34744555	0.06169490	5.63167403
0.53000000	72.31725297	0.60152632	0.10681128	5.63167403
2.79000000	71.74386690	0.11823270	0.02099424	5.63167403
1.42000000	73.21715972	0.21238805	0.03771313	5.63167403
0.84000000	68.73016764	0.46342532	0.08228909	5.63167403
6.15000000	68.15987422	0.06516814	0.01157172	5.63167403
2.13000000	74.68279058	0.12858775	0.02283295	5.63167403
0.78000000	68.07404573	0.51605604	0.09163457	5.63167403
0.64000000	69.83563577	0.57378494	0.10188533	5.63167403
0.73000000	70.61533975	0.48199272	0.08558605	5.63167403
0.65000000	69.30783787	0.58109568	0.10318347	5.63167403
0.69000000	68.10086673	0.58257949	0.10344695	5.63167403
0.14000000	66.53993116	3.09988524	0.55043762	5.63167403
0.66000000	57.99047899	0.94712187	0.16817768	5.63167403
0.48000000	74.76435758	0.56742104	0.10075531	5.63167403
0.56000000	72.80484649	0.55260539	0.09812453	5.63167403
0.97000000	73.54319289	0.30452956	0.05407443	5.63167403
0.55000000	73.25098540	0.54717651	0.09716054	5.63167403
2.74000000	73.14568045	0.11056663	0.01963300	5.63167403
0.31000000	73.70033540	0.94327132	0.16749395	5.63167403
0.71000000	73.92292337	0.40591803	0.07207769	5.63167403
0.98000000	68.51254069	0.40169149	0.07132719	5.63167403
0.61000000	75.58518987	0.42136378	0.07482034	5.63167403
0.88000000	67.56108168	0.46927855	0.08332843	5.63167403
0.53000000	75.34332276	0.49346620	0.08762336	5.63167403
1.00000000	73.35810608	0.29890929	0.05307645	5.63167403
1.06000000	69.13762301	0.35953836	0.06384218	5.63167403
0.34000000	71.80649918	0.96663995	0.17164345	5.63167403
1.12000000	71.87860416	0.29219978	0.05188507	5.63167403
0.64000000	73.46712875	0.46380883	0.08235719	5.63167403
0.68000000	72.49253389	0.46388538	0.08237078	5.63167403
3.31000000	66.34791990	0.13231787	0.02349530	5.63167403
1.39000000	70.12477010	0.26007630	0.04618099	5.63167403
0.59000000	70.92888455	0.58596028	0.10404726	5.63167403
0.44000000	65.94862612	1.01432613	0.18011095	5.63167403
0.82000000	75.98221477	0.30446065	0.05406219	5.63167403
1.10000000	71.23619919	0.30883901	0.05483965	5.63167403
0.60000000	57.85939681	1.04714463	0.18593843	5.63167403
1.02000000	71.54820036	0.32711779	0.05808536	5.63167403
0.77000000	73.24572695	0.39097036	0.06942347	5.63167403
0.64000000	67.49226229	0.64745592	0.11496687	5.63167403
0.53000000	68.07116900	0.75958878	0.13487797	5.63167403
0.80000000	70.43092250	0.44434496	0.07890104	5.63167403
2.17000000	70.70477682	0.16133706	0.02864815	5.63167403
0.87000000	79.29081728	0.21737696	0.03859900	5.63167403
0.53000000	72.43403395	0.59729251	0.10605950	5.63167403
0.27000000	75.95135501	0.92677773	0.16456523	5.63167403
0.55000000	78.44611427	0.37169436	0.06600069	5.63167403
0.42000000	72.89526874	0.73269182	0.13010196	5.63167403
1.00000000	71.46123539	0.33534780	0.05954674	5.63167403
