POINT	LATITUDE	LONGITUDE	FORMATION
P128	37.253802	43.113605	KURRA CHINE
P129	37.249283	43.103632	KURRA CHINE
P130	37.251956	43.106652	KURRA CHINE
P131	37.251915	43.107296	KURRA CHINE
P132	37.252750	43.109109	KURRA CHINE
P133	37.253673	43.108814	KURRA CHINE
P134	37.253220	43.109780	KURRA CHINE
P135	37.247288	43.096995	KURRA CHINE
P136	37.247077	43.095207	SARKI
P137	37.244635	43.097236	FAULT BRECCIA
P138	37.242860	43.097953	BEKHME
P139	37.239945	43.099071	BEKHME TO SHIRANISH
P140	37.237185	43.097064	KHURMALA
P141	37.225499	43.074520	PILA SPI to GERCUS
P142	37.220890	43.078100	LOWER FARS TO PILA SPI
P143	37.217110	43.077700	UPPER FARS
P144	37.217127	43.077775	UPPER FARS
P145	37.214400	43.063260	LOWER FARS TO PILA SPI
P146	37.210714	43.063608	PILA SPI to GERCUS
P147	37.202514	43.029916	PILA SPI to GERCUS
P148	37.201510	43.029260	LOWER FARS TO PILA SPI
P149	37.217388	42.895311	PILA SPI
P150	37.211508	42.894120	GERCUS
P151	37.210838	42.897357	KOLOSH
P152	37.209581	42.893513	PILA SPI
P153	37.208838	42.892791	BAJAWAN
P154	37.206252	42.892948	EUPHRATES
P155	37.205418	42.892933	UPPER FARS TO LOWER FARS
P156	37.202483	42.894317	UPPER FARS TO BAKHTIARI
P157	37.200624	42.893859	BAKHTIARI
P158	37.188544	42.895456	BAKHTIARI
P159	37.118304	43.079220	BAKHTIARI
P160	37.124639	43.070063	BAKHTIARI
P161	37.130037	43.076236	BAKHTIARI
P162	37.141737	43.092961	BAKHTIARI
P163	37.144512	43.103098	UPPER FARS
P164	37.148072	43.107872	UPPER FARS
P165	37.200052	43.029930	LOWER FARS TO PILA SPI
P166	37.197503	43.027847	UPPER FARS
P167	37.194534	43.027162	UPPER FARS
P168	37.194028	43.027103	BAKHTIARI
P169	37.191647	43.025419	BAKHTIARI
P170	37.178974	43.041349	BAKHTIARI
P171	37.169556	43.049409	BAKHTIARI
P172	37.164210	43.051056	BAKHTIARI
P173	37.157264	43.053604	BAKHTIARI
P174	37.150561	43.055866	BAKHTIARI
P175	37.144830	43.059697	BAKHTIARI
P176	37.140436	43.063507	BAKHTIARI
P177	37.113253	43.097643	BAKHTIARI
P178	37.117999	43.108339	BAKHTIARI
P179	37.118301	43.124677	BAKHTIARI
P180	37.114372	43.133410	BAKHTIARI
P181	37.115495	43.150266	BAKHTIARI
P182	37.117233	43.164679	BAKHTIARI
P183	37.107609	43.156100	BAKHTIARI
P184	36.967734	43.676920	?SARKI/?KURRA CHINE INDET
P185	36.967845	43.679579	?SARKI/?KURRA CHINE INDET
P186	36.967466	43.682870	SARKI
P187	36.966218	43.688831	SARKI
P188	36.964488	43.693569	SEKHANIYAN
P189	36.964037	43.694596	SEKHANIYAN
P190	36.968451	43.651354	KURRA CHINE
P191	36.970911	43.640288	KURRA CHINE
P192	36.993238	43.540569	SARKI TO BALUTI
P193	36.992170	43.539743	KURRA CHINE
P194	37.011260	43.368083	QAMCHUQA
P195	36.914443	43.719383	KHURMALA
P196	36.915526	43.719111	KHURMALA TO KOLOSH
P197	36.919377	43.718196	AQRA
P198	36.919585	43.719114	AQRA
P199	36.920038	43.719837	AQRA TO BEKHME
P200	36.921625	43.720776	QAMCHUQA
P201	36.924694	43.721544	QAMCHUQA
P202	36.907338	43.940722	AQRA
P203	36.916559	43.935766	KOMETAN
P204	36.931823	43.931325	KOMETAN
P205	36.940928	43.928116	KOMETAN
P206	36.945240	43.925060	BEKHME
P207	36.943674	43.927071	BEKHME
P208	36.945218	43.925100	QAMCHUQA
P209	36.947419	43.922784	QAMCHUQA
P210	36.948875	43.922518	QAMCHUQA
P211	36.950147	43.923269	BRECCIA
P212	36.963720	43.927540	QAMCHUQA
P213	36.951583	43.924093	QAMCHUQA
P214	36.952445	43.924842	KOMETAN
P215	36.952869	43.925664	QAMCHUQA
P216	36.963622	43.927493	KOMETAN
P217	36.967223	43.927651	KOMETAN
P218	36.923310	43.775180	KOMETAN
P219	36.978585	43.929309	BEKHME
P220	36.916358	43.829067	BEKHME
P221	36.918379	43.807099	BEKHME
P222	36.920892	43.788264	?QAMCHUQA
P223	36.923317	43.775182	BEKHME
P224	36.935932	44.008741	KOLOSH
P225	36.959546	43.964496	KHURMALA
P226	36.960531	43.963070	KOMETAN
P227	36.971137	43.944974	GERCUS
P228	36.978647	43.930120	KOLOSH
P229	36.982596	43.929573	BEKHME
P230	36.986340	43.914459	GERCUS TO PILA SPI
P231	36.989315	43.910850	PILA SPI
